Category: All categories

Month,Measles: (United States),MMR vaccine: (United States),Measles virus: (United States),Koplik's spots: (United States)
2004-01,5,3,1,0
2004-02,5,3,1,0
2004-03,6,3,1,0
2004-04,7,3,1,0
2004-05,6,3,<1,0
2004-06,3,3,0,0
2004-07,4,3,<1,0
2004-08,3,3,<1,0
2004-09,5,3,<1,0
2004-10,4,3,<1,0
2004-11,5,3,1,0
2004-12,5,3,1,0
2005-01,5,2,1,0
2005-02,5,3,1,0
2005-03,5,3,1,<1
2005-04,6,3,<1,0
2005-05,5,3,<1,0
2005-06,4,3,<1,0
2005-07,3,3,<1,<1
2005-08,4,3,<1,0
2005-09,4,3,<1,0
2005-10,4,3,<1,<1
2005-11,4,3,<1,0
2005-12,4,2,<1,0
2006-01,4,2,<1,<1
2006-02,4,3,<1,0
2006-03,4,3,<1,0
2006-04,5,4,1,<1
2006-05,6,4,<1,<1
2006-06,6,3,<1,<1
2006-07,4,3,<1,<1
2006-08,4,3,<1,<1
2006-09,3,3,<1,0
2006-10,4,3,<1,0
2006-11,4,2,<1,0
2006-12,3,2,<1,0
2007-01,4,2,<1,<1
2007-02,4,2,<1,0
2007-03,4,3,<1,<1
2007-04,4,3,<1,<1
2007-05,5,3,<1,<1
2007-06,4,4,<1,<1
2007-07,3,4,<1,<1
2007-08,3,4,<1,0
2007-09,4,6,<1,0
2007-10,4,4,<1,<1
2007-11,4,3,<1,<1
2007-12,4,2,<1,0
2008-01,4,3,<1,<1
2008-02,6,3,<1,<1
2008-03,5,4,<1,<1
2008-04,8,4,<1,<1
2008-05,8,4,<1,<1
2008-06,5,4,<1,<1
2008-07,5,4,<1,<1
2008-08,7,4,<1,0
2008-09,6,3,<1,<1
2008-10,5,3,<1,<1
2008-11,5,3,<1,<1
2008-12,4,2,<1,0
2009-01,5,3,<1,<1
2009-02,5,4,<1,<1
2009-03,5,3,<1,<1
2009-04,7,4,<1,<1
2009-05,5,3,<1,<1
2009-06,4,3,<1,<1
2009-07,4,3,<1,<1
2009-08,4,4,<1,<1
2009-09,4,4,<1,<1
2009-10,5,4,<1,<1
2009-11,4,3,<1,<1
2009-12,3,3,<1,<1
2010-01,3,3,<1,<1
2010-02,4,4,<1,<1
2010-03,5,3,<1,<1
2010-04,5,4,<1,<1
2010-05,5,4,<1,<1
2010-06,4,3,<1,<1
2010-07,4,3,<1,<1
2010-08,5,3,<1,<1
2010-09,5,3,<1,<1
2010-10,4,3,<1,<1
2010-11,5,3,<1,<1
2010-12,4,3,<1,<1
2011-01,4,3,<1,<1
2011-02,6,3,<1,<1
2011-03,6,3,<1,<1
2011-04,6,3,<1,<1
2011-05,6,4,<1,<1
2011-06,5,4,<1,<1
2011-07,4,4,<1,<1
2011-08,4,4,<1,<1
2011-09,4,3,<1,<1
2011-10,4,3,<1,<1
2011-11,4,3,<1,<1
2011-12,3,3,<1,<1
2012-01,3,3,<1,<1
2012-02,7,3,<1,<1
2012-03,4,3,<1,<1
2012-04,5,3,<1,<1
2012-05,4,4,<1,<1
2012-06,4,3,<1,<1
2012-07,4,3,<1,<1
2012-08,4,3,<1,<1
2012-09,3,3,<1,<1
2012-10,3,3,<1,<1
2012-11,3,3,<1,<1
2012-12,3,3,<1,<1
2013-01,4,3,<1,<1
2013-02,4,3,<1,<1
2013-03,3,3,<1,<1
2013-04,4,3,<1,<1
2013-05,4,4,<1,<1
2013-06,4,4,<1,<1
2013-07,4,6,<1,<1
2013-08,7,8,<1,<1
2013-09,6,6,<1,<1
2013-10,4,6,<1,<1
2013-11,4,8,<1,<1
2013-12,4,6,<1,<1
2014-01,4,7,<1,<1
2014-02,9,6,<1,<1
2014-03,12,7,<1,<1
2014-04,14,6,<1,<1
2014-05,13,6,1,<1
2014-06,8,6,<1,<1
2014-07,6,6,<1,<1
2014-08,4,7,<1,<1
2014-09,5,6,<1,<1
2014-10,6,5,<1,<1
2014-11,4,4,<1,<1
2014-12,4,4,<1,<1
2015-01,62,13,1,<1
2015-02,98,21,1,<1
2015-03,16,7,<1,<1
2015-04,11,6,<1,<1
2015-05,8,5,<1,<1
2015-06,6,5,<1,<1
2015-07,6,6,<1,<1
2015-08,5,6,<1,<1
2015-09,5,6,<1,<1
2015-10,6,5,<1,<1
2015-11,5,5,<1,<1
