Foreign Originating,Foreign Returning,Month,Month Number,U.S. Citizen Originating,U.S. Citizen Returning,Year,__source_file,__source_title
0,2,July,7,0,0,2024,aberdeen.csv,aberdeen
0,0,March,3,6,0,2024,aberdeen.csv,aberdeen
0,0,August,8,5,0,2023,aberdeen.csv,aberdeen
0,0,May,5,6,0,2023,aberdeen.csv,aberdeen
0,0,July,7,6,0,2022,aberdeen.csv,aberdeen
0,1,April,4,1,0,2022,aberdeen.csv,aberdeen
0,0,February,2,6,0,2022,aberdeen.csv,aberdeen
0,2,October,10,0,0,2021,aberdeen.csv,aberdeen
0,0,March,3,2,0,2021,aberdeen.csv,aberdeen
0,0,December,12,4,0,2020,aberdeen.csv,aberdeen
0,0,February,2,6,0,2020,aberdeen.csv,aberdeen
0,0,September,9,2,1,2019,aberdeen.csv,aberdeen
0,0,July,7,2,4,2019,aberdeen.csv,aberdeen
0,0,June,6,0,1,2019,aberdeen.csv,aberdeen
0,0,May,5,6,2,2019,aberdeen.csv,aberdeen
0,0,April,4,4,7,2019,aberdeen.csv,aberdeen
0,0,March,3,11,3,2019,aberdeen.csv,aberdeen
0,0,January,1,2,19,2019,aberdeen.csv,aberdeen
2,0,March,3,4,0,2025,abilene.csv,abilene
0,0,July,7,2,0,2024,abilene.csv,abilene
0,0,May,5,8,0,2023,abilene.csv,abilene
0,0,February,2,5,0,2023,abilene.csv,abilene
0,0,December,12,5,1,2022,abilene.csv,abilene
0,0,May,5,16,0,2022,abilene.csv,abilene
0,0,November,11,6,0,2021,abilene.csv,abilene
0,0,March,3,6,0,2021,abilene.csv,abilene
0,0,January,1,5,0,2021,abilene.csv,abilene
0,0,December,12,12,0,2020,abilene.csv,abilene
0,0,November,11,1,4,2020,abilene.csv,abilene
0,0,March,3,7,0,2020,abilene.csv,abilene
0,0,February,2,1,0,2020,abilene.csv,abilene
0,0,January,1,11,0,2020,abilene.csv,abilene
0,0,December,12,4,11,2019,abilene.csv,abilene
0,0,November,11,8,4,2019,abilene.csv,abilene
0,0,October,10,4,3,2019,abilene.csv,abilene
0,0,September,9,1,2,2019,abilene.csv,abilene
0,0,July,7,0,24,2019,abilene.csv,abilene
0,0,June,6,0,4,2019,abilene.csv,abilene
0,0,May,5,0,9,2019,abilene.csv,abilene
1,0,March,3,0,10,2019,abilene.csv,abilene
0,0,January,1,0,1,2019,abilene.csv,abilene
0,0,April,4,2,0,2022,abingdon.csv,abingdon
0,0,March,3,2,0,2022,abingdon.csv,abingdon
0,0,December,12,0,4,2023,abu_dhabi.csv,abu_dhabi
1,0,September,9,0,0,2021,achinsk.csv,achinsk
15,0,June,6,0,1,2024,acracta:eureka.csv,acracta:eureka
0,0,September,9,2,0,2022,acracta:eureka.csv,acracta:eureka
0,2,April,4,0,0,2019,acracta:eureka.csv,acracta:eureka
0,2,April,4,0,0,2025,adak_island.csv,adak_island
0,0,October,10,4,0,2023,adak_island.csv,adak_island
0,4,September,9,0,0,2023,adak_island.csv,adak_island
0,6,January,1,0,0,2023,adak_island.csv,adak_island
20,12,August,8,116,126,2025,addison.csv,addison
27,25,July,7,176,188,2025,addison.csv,addison
56,54,June,6,253,282,2025,addison.csv,addison
49,52,May,5,231,169,2025,addison.csv,addison
33,47,April,4,302,226,2025,addison.csv,addison
57,34,March,3,356,463,2025,addison.csv,addison
39,30,February,2,191,191,2025,addison.csv,addison
58,67,January,1,222,309,2025,addison.csv,addison
44,44,December,12,266,214,2024,addison.csv,addison
101,99,November,11,238,198,2024,addison.csv,addison
38,56,October,10,158,183,2024,addison.csv,addison
29,44,September,9,126,155,2024,addison.csv,addison
35,50,August,8,76,70,2024,addison.csv,addison
39,32,July,7,143,180,2024,addison.csv,addison
23,24,June,6,134,159,2024,addison.csv,addison
41,52,May,5,175,167,2024,addison.csv,addison
41,33,April,4,170,245,2024,addison.csv,addison
30,29,March,3,247,299,2024,addison.csv,addison
3,19,February,2,216,164,2024,addison.csv,addison
41,56,January,1,199,343,2024,addison.csv,addison
34,17,December,12,230,127,2023,addison.csv,addison
18,46,November,11,265,249,2023,addison.csv,addison
30,49,October,10,113,100,2023,addison.csv,addison
29,34,September,9,141,124,2023,addison.csv,addison
16,7,August,8,79,112,2023,addison.csv,addison
26,31,July,7,184,162,2023,addison.csv,addison
28,16,June,6,161,159,2023,addison.csv,addison
15,10,May,5,110,91,2023,addison.csv,addison
23,26,April,4,169,168,2023,addison.csv,addison
20,24,March,3,254,298,2023,addison.csv,addison
16,17,February,2,134,192,2023,addison.csv,addison
23,35,January,1,124,280,2023,addison.csv,addison
33,31,December,12,284,121,2022,addison.csv,addison
21,23,November,11,215,160,2022,addison.csv,addison
26,20,October,10,149,163,2022,addison.csv,addison
19,16,September,9,74,82,2022,addison.csv,addison
22,12,August,8,84,90,2022,addison.csv,addison
28,22,July,7,187,157,2022,addison.csv,addison
29,35,June,6,231,337,2022,addison.csv,addison
25,31,May,5,186,128,2022,addison.csv,addison
27,36,April,4,120,113,2022,addison.csv,addison
30,40,March,3,266,374,2022,addison.csv,addison
29,42,February,2,230,304,2022,addison.csv,addison
39,52,January,1,137,254,2022,addison.csv,addison
28,42,December,12,319,165,2021,addison.csv,addison
23,45,November,11,219,259,2021,addison.csv,addison
45,32,October,10,104,129,2021,addison.csv,addison
16,16,September,9,68,70,2021,addison.csv,addison
26,35,August,8,76,91,2021,addison.csv,addison
33,6,July,7,118,163,2021,addison.csv,addison
20,12,June,6,186,248,2021,addison.csv,addison
25,20,May,5,79,135,2021,addison.csv,addison
55,39,April,4,158,132,2021,addison.csv,addison
52,31,March,3,152,315,2021,addison.csv,addison
21,12,February,2,124,160,2021,addison.csv,addison
24,36,January,1,68,159,2021,addison.csv,addison
31,17,December,12,140,95,2020,addison.csv,addison
30,33,November,11,120,124,2020,addison.csv,addison
19,28,October,10,50,42,2020,addison.csv,addison
11,11,September,9,47,54,2020,addison.csv,addison
23,15,August,8,52,53,2020,addison.csv,addison
10,1,July,7,34,37,2020,addison.csv,addison
19,18,June,6,58,91,2020,addison.csv,addison
5,7,May,5,4,23,2020,addison.csv,addison
0,0,April,4,7,8,2020,addison.csv,addison
12,4,March,3,205,314,2020,addison.csv,addison
18,35,February,2,128,95,2020,addison.csv,addison
21,15,January,1,96,209,2020,addison.csv,addison
41,43,December,12,185,117,2019,addison.csv,addison
47,31,November,11,104,142,2019,addison.csv,addison
30,25,October,10,86,59,2019,addison.csv,addison
29,30,September,9,39,74,2019,addison.csv,addison
25,25,August,8,85,56,2019,addison.csv,addison
10,10,July,7,62,98,2019,addison.csv,addison
37,16,June,6,77,54,2019,addison.csv,addison
43,31,May,5,68,72,2019,addison.csv,addison
28,23,April,4,98,92,2019,addison.csv,addison
16,21,March,3,168,169,2019,addison.csv,addison
19,21,February,2,73,85,2019,addison.csv,addison
34,39,January,1,117,152,2019,addison.csv,addison
79090,81836,August,8,16003,17809,2025,agana.csv,agana
65679,60813,July,7,20144,24716,2025,agana.csv,agana
51009,51983,June,6,22214,20111,2025,agana.csv,agana
48500,51865,May,5,19384,17466,2025,agana.csv,agana
49194,48483,April,4,18618,19767,2025,agana.csv,agana
59550,61924,March,3,17828,18198,2025,agana.csv,agana
59475,61641,February,2,15213,15639,2025,agana.csv,agana
65089,66231,January,1,15987,21756,2025,agana.csv,agana
65019,63159,December,12,20989,18806,2024,agana.csv,agana
52710,52674,November,11,17508,16070,2024,agana.csv,agana
51855,52222,October,10,16786,16478,2024,agana.csv,agana
50427,50116,September,9,13504,14573,2024,agana.csv,agana
66252,66908,August,8,14819,16780,2024,agana.csv,agana
56174,52689,July,7,19817,22852,2024,agana.csv,agana
47049,48145,June,6,23274,21421,2024,agana.csv,agana
50696,53842,May,5,19276,16524,2024,agana.csv,agana
52154,49894,April,4,14528,16601,2024,agana.csv,agana
64752,66761,March,3,19672,18477,2024,agana.csv,agana
70251,70409,February,2,14369,14720,2024,agana.csv,agana
75661,76707,January,1,14599,19323,2024,agana.csv,agana
70537,66960,December,12,19774,16456,2023,agana.csv,agana
59140,57302,November,11,16991,16995,2023,agana.csv,agana
