year,Location,Cases
2024,Alabama,0
2024,Alaska,0
2024,Arizona,5
2024,Arkansas,0
2024,California,13
2024,Colorado,0
2024,Connecticut,0
2024,Delaware,0
2024,DISTRICT OF COLUMBIA,1
2024,Florida,11
2024,Georgia,5
2024,Hawaii,0
2024,Idaho,0
2024,Illinois,67
2024,Indiana,1
2024,Iowa,0
2024,Kansas,0
2024,Kentucky,0
2024,Louisiana,2
2024,Maine,0
2024,Maryland,1
2024,Massachusetts,1
2024,Michigan,7
2024,Minnesota,65
2024,Mississippi,0
2024,Missouri,2
2024,Montana,0
2024,Nebraska,0
2024,Nevada,0
2024,New Hampshire,2
2024,New Jersey,7
2024,New Mexico,2
2024,New York,1
2024,NEW YORK CITY,13
2024,North Carolina,1
2024,North Dakota,0
2024,Ohio,7
2024,Oklahoma,1
2024,Oregon,31
2024,Pennsylvania,6
2024,Rhode Island,0
2024,South Carolina,1
2024,South Dakota,1
2024,Tennessee,4
2024,Texas,1
2024,Utah,0
2024,Vermont,1
2024,Virginia,1
2024,Washington,6
2024,West Virginia,1
2024,Wisconsin,1
2024,Wyoming,0
