Category,Dose,GeoType,Geography,Year,Estimate,Population,SurveyedPercent,Exemptions,SurveyType
Hepatitis B,,States,Oklahoma,2015,96.4,54335.0,96.1,,Census
Hepatitis B,,States,Oklahoma,2014,92.5,56967.0,95.9,,Census
Hepatitis B,,States,Oklahoma,2013,97.7,57377.0,71.3,,Voluntary response
Hepatitis B,,States,Oklahoma,2012,92.7,56943.0,95.5,,Census
Hepatitis B,,States,Oklahoma,2016,,52184.0,0.0,,Census
Varicella,2 Doses (unknown disease history),States,Oklahoma,2015,,54335.0,96.1,,Census
Varicella,2 Doses (unknown disease history),States,Oklahoma,2019,,55348.0,85.6,,Voluntary response
Varicella,2 Doses (unknown disease history),States,Oklahoma,2020,,52656.0,90.0,,Census (public). voluntary response (private)
Hepatitis B,,States,Oklahoma,2009,99.5,51128.0,88.9,,Voluntary response
Varicella,2 Doses (unknown disease history),States,Oklahoma,2021,,54042.0,84.3,,Vol. response
Hepatitis B,,States,Oklahoma,2010,,,,,
Hepatitis B,,States,Oklahoma,2011,97.7,52987.0,90.9,,Census
Varicella,2 Doses (unknown disease history),States,Oklahoma,2011,,52987.0,90.9,,Census
Varicella,2 Doses (unknown disease history),States,Oklahoma,2010,,,,,
Varicella,2 Doses (unknown disease history),States,Oklahoma,2009,,51128.0,88.9,,Voluntary response
Varicella,1 Dose (unknown disease history),States,Oklahoma,2021,95.5,54042.0,84.3,,Vol. response
Varicella,2 Doses (unknown disease history),States,Oklahoma,2014,,56967.0,95.9,,Census
Varicella,2 Doses (unknown disease history),States,Oklahoma,2013,,57377.0,71.3,,Voluntary response
Varicella,2 Doses (unknown disease history),States,Oklahoma,2012,,56943.0,95.5,,Census
Varicella,1 Dose (unknown disease history),States,Oklahoma,2018,95.8,54806.0,92.1,,Census (public). voluntary response (private)
Varicella,1 Dose (unknown disease history),States,Oklahoma,2017,96.8,53898.0,92.1,,Census (public). voluntary response (private)
Varicella,1 Dose (unknown disease history),States,Oklahoma,2019,96.9,55348.0,85.6,,Voluntary response
Varicella,1 Dose (unknown disease history),States,Oklahoma,2020,96.1,52656.0,90.0,,Census (public). voluntary response (private)
Varicella,1 Dose (unknown disease history),States,Oklahoma,2011,97.8,52987.0,90.9,,Census
Varicella,1 Dose (unknown disease history),States,Oklahoma,2016,,52184.0,0.0,,Census
Varicella,1 Dose (unknown disease history),States,Oklahoma,2015,,54335.0,96.1,,Census
Varicella,1 Dose (unknown disease history),States,Oklahoma,2014,92.5,56967.0,95.9,,Census
Varicella,1 Dose (unknown disease history),States,Oklahoma,2013,98.0,57377.0,71.3,,Voluntary response
Varicella,UTD (unknown disease history),States,Oregon,2020,95.1,39568.0,100.0,,Census
Varicella,UTD (unknown disease history),States,Oregon,2021,94.7,41538.0,100.0,,Census
Polio,,States,Oregon,2012,93.6,47102.0,100.0,,Census
Polio,,States,Oregon,2013,93.3,47649.0,100.0,,Census
Polio,,States,Oregon,2014,94.0,46229.0,100.0,,Census
Polio,,States,Oregon,2015,93.7,45531.0,100.0,,Census
Exemption,Medical Exemption,States,Oregon,2020,0.1,39568.0,100.0,39.0,Census
Exemption,Medical Exemption,States,Oregon,2018,0.1,45870.0,,56.0,Census
Exemption,Medical Exemption,States,Oregon,2019,0.2,45959.0,,73.0,Census
Exemption,Medical Exemption,States,Oregon,2017,0.1,45818.0,,62.0,Census
Exemption,Medical Exemption,States,Oregon,2016,0.1,45705.0,,55.0,Census
Exemption,Medical Exemption,States,Oregon,2015,0.1,45531.0,,61.0,Census
Exemption,Medical Exemption,States,Oregon,2014,0.2,46229.0,,78.0,Census
Exemption,Medical Exemption,States,Oregon,2013,0.1,47649.0,,62.0,Census
Exemption,Medical Exemption,States,Oregon,2012,0.2,47102.0,,72.0,Census
Exemption,Medical Exemption,States,Oregon,2011,0.2,45855.0,,80.0,Census
Exemption,Medical Exemption,States,Oregon,2010,,,,,
Hepatitis B,,States,Oregon,2021,93.8,41538.0,100.0,,Census
Hepatitis B,,States,Oregon,2020,94.0,39568.0,100.0,,Census
Hepatitis B,,States,Oregon,2019,93.3,45959.0,100.0,,Census
Hepatitis B,,States,Oregon,2018,93.1,45870.0,100.0,,Census
Polio,,States,Oregon,2011,94.0,45855.0,100.0,,Census
Polio,,States,Oregon,2019,92.8,45959.0,100.0,,Census
Polio,,States,Oregon,2020,92.0,39568.0,100.0,,Census
Polio,,States,Oregon,2021,92.3,41538.0,100.0,,Census
Exemption,Medical Exemption,States,Oregon,2009,0.2,44676.0,,86.0,Census
Exemption,Any Exemption,States,Oregon,2020,5.4,39568.0,100.0,2118.0,Census
Exemption,Any Exemption,States,Oregon,2019,7.1,45959.0,,3265.0,Census
Polio,,States,Oregon,2009,94.3,44676.0,100.0,,Census
Polio,,States,Oregon,2010,,,,,
Polio,,States,Oregon,2018,92.7,45870.0,100.0,,Census
Polio,,States,Oregon,2017,92.7,45818.0,100.0,,Census
Polio,,States,Oregon,2016,93.5,45705.0,100.0,,Census
Hepatitis B,,States,Oregon,2017,93.3,45818.0,100.0,,Census
Exemption,Any Exemption,States,Oregon,2021,7.0,41538.0,100.0,2895.0,Census
Exemption,Any Exemption,States,Oregon,2018,7.7,45870.0,,3513.0,Census
Exemption,Any Exemption,States,Oregon,2010,,,,,
Exemption,Any Exemption,States,Oregon,2011,5.9,45855.0,,2728.0,Census
Exemption,Any Exemption,States,Oregon,2017,7.6,45818.0,,3489.0,Census
Exemption,Any Exemption,States,Oregon,2016,6.7,45705.0,,3047.0,Census
Exemption,Any Exemption,States,Oregon,2015,6.3,45531.0,,2871.0,Census
Exemption,Any Exemption,States,Oregon,2014,6.0,46229.0,,2771.0,Census
Exemption,Any Exemption,States,Oregon,2013,7.1,47649.0,,3393.0,Census
Exemption,Any Exemption,States,Oregon,2012,6.5,47102.0,,3082.0,Census
Exemption,Medical Exemption,States,Oregon,2021,0.1,41538.0,100.0,43.0,Census
Exemption,Any Exemption,States,Oregon,2009,5.4,44676.0,,2416.0,Census
Exemption,Non-Medical Exemption,States,Oregon,2021,6.9,41538.0,100.0,2852.0,Census
Exemption,Non-Medical Exemption,States,Oregon,2012,6.4,47102.0,,3010.0,Census
Exemption,Non-Medical Exemption,States,Oregon,2011,5.8,45855.0,,2648.0,Census
Exemption,Non-Medical Exemption,States,Oregon,2010,,,,,
Exemption,Non-Medical Exemption,States,Oregon,2009,5.2,44676.0,,2330.0,Census
Exemption,Non-Medical Exemption,States,Oregon,2014,5.8,46229.0,,2693.0,Census
Exemption,Non-Medical Exemption,States,Oregon,2013,7.0,47649.0,,3331.0,Census
Exemption,Non-Medical Exemption,States,Oregon,2015,6.2,45531.0,,2810.0,Census
Exemption,Non-Medical Exemption,States,Oregon,2016,6.5,45705.0,,2992.0,Census
Exemption,Non-Medical Exemption,States,Oregon,2018,7.5,45870.0,,3457.0,Census
Exemption,Non-Medical Exemption,States,Oregon,2017,7.5,45818.0,,3427.0,Census
Exemption,Non-Medical Exemption,States,Oregon,2020,5.3,39568.0,100.0,2079.0,Census
Exemption,Non-Medical Exemption,States,Oregon,2019,6.9,45959.0,,3192.0,Census
MMR (PAC),MMR (PAC),States,Oregon,2023,92.4,,,,
Varicella,UTD (unknown disease history),States,Oregon,2023,93.9,39568.0,100.0,,Census
Exemption,Any Exemption,States,Oregon,2023,8.9,39568.0,100.0,3532.0,Census
Exemption,Non-Medical Exemption,States,Oregon,2023,8.8,39568.0,100.0,3486.0,Census
Exemption,Medical Exemption,States,Oregon,2023,0.1,39568.0,100.0,46.0,Census
Polio,,States,Oregon,2023,91.1,39568.0,100.0,,Census
Hepatitis B,,States,Oregon,2023,92.9,39568.0,100.0,,Census
Varicella,2 Doses (unknown disease history),States,Oregon,2023,,39568.0,100.0,,Census
Varicella,1 Dose (unknown disease history),States,Oregon,2023,93.9,39568.0,100.0,,Census
"DTP, DTaP, or DT",,States,Oregon,2023,90.5,39568.0,100.0,,Census
MMR,,States,Oregon,2023,91.2,39568.0,100.0,,Census
MMR,,States,Oregon,2024,90.5,38247.0,100.0,,Census
"DTP, DTaP, or DT",,States,Oregon,2024,89.6,38247.0,100.0,,Census
MMR (PAC),MMR (PAC),States,Oregon,2024,91.6,38247.0,100.0,,Census
Varicella,UTD (unknown disease history),States,Oregon,2024,93.3,38247.0,100.0,,Census
Exemption,Any Exemption,States,Oregon,2024,9.8,38247.0,100.0,3746.0,Census
Exemption,Non-Medical Exemption,States,Oregon,2024,9.7,38247.0,100.0,3715.0,Census
Exemption,Medical Exemption,States,Oregon,2024,0.1,38247.0,100.0,31.0,Census
Polio,,States,Oregon,2024,90.4,38247.0,100.0,,Census
Hepatitis B,,States,Oregon,2024,92.5,38247.0,100.0,,Census
Varicella,2 Doses (unknown disease history),States,Oregon,2024,,38247.0,100.0,,Census
Varicella,1 Dose (unknown disease history),States,Oregon,2024,93.3,38247.0,100.0,,Census
MMR (PAC),MMR (PAC),States,Oregon,2017,93.7,,,,
MMR (PAC),MMR (PAC),States,Oregon,2018,93.9,,,,
MMR (PAC),MMR (PAC),States,Oregon,2019,94.3,,,,
MMR (PAC),MMR (PAC),States,Oregon,2020,96.7,,,,
MMR (PAC),MMR (PAC),States,Oregon,2021,94.3,,,,
MMR (PAC),MMR (PAC),States,Oregon,2022,93.1,,,,
MMR,,States,Oklahoma,2010,,,,,
MMR,,States,Oklahoma,2009,97.3,51128.0,88.9,,Voluntary response
"DTP, DTaP, or DT",,States,Oklahoma,2016,,52184.0,0.0,,Census
"DTP, DTaP, or DT",,States,Oklahoma,2015,96.1,54335.0,96.1,,Census
"DTP, DTaP, or DT",,States,Oklahoma,2014,90.0,56967.0,95.9,,Census
"DTP, DTaP, or DT",,States,Oklahoma,2013,96.1,57377.0,71.3,,Voluntary response
"DTP, DTaP, or DT",,States,Oklahoma,2012,90.2,56943.0,95.5,,Census
"DTP, DTaP, or DT",,States,Oklahoma,2011,94.6,52987.0,90.9,,Census
"DTP, DTaP, or DT",,States,Oklahoma,2010,,,,,
