"Table VaxCh. Vaccination coverage for selected diseases by age 24 months, by race and Hispanic origin, poverty level, and location of residence: United States, birth years 2010–2016",,,,,,,,
Excel version (with more data years and standard errors when available): https://www.cdc.gov/nchs/hus/contents2020-2021.htm#Table-VaxCh,,,,,,,,
"[Data are based on telephone interviews of a sample of the civilian noninstitutionalized population, supplemented by a survey of each sampled child's vaccination provider(s)]",,,,,,,,
,Birth year,,,,,,,
Characteristic,2010,2011,2012,2013,2014,2015,2016,
"Measles, mumps, rubella (1 dose or more)\6",,,,,,,,
Total,90,90.1,90.6,90.3,89.8,90.8,90.8,
Not Hispanic or Latino\2:,,,,,,,,
White only,89.7,89.9,89.9,90.1,90,89.9,90.2,
Black or African American only,89.3,88.1,89,87.8,86.8,89.5,90.5,
American Indian or Alaska Native only,88.5,95.5,95.6,88.5,89.4,87.3,86,
Asian only,93.2,95.4,96.4,90.5,92.9,95.3,93.4,
Native Hawaiian or Other Pacific Islander only,*,94.1,96.6,*,*,*,*,
2 or more races,90.6,89.5,89.1,92.7,89.7,92.9,91.7,
Hispanic or Latino\2,90.7,90.4,91.4,91.1,90.1,91.7,91.6,
Poverty level\3:,,,,,,,,
Below poverty,88.9,88.2,89.6,87.6,86.1,89,88,
At or above poverty,90.7,91.1,91,92.1,91.5,91.4,91.7,
Location of residence\4:,,,,,,,,
Inside MSA:,,,,,,,,
Principal city,89.5,88.8,91.7,90.5,90.1,92.3,90.5,
Nonprincipal city,89.9,91.4,90,90.2,89.2,89.9,91.5,
Outside MSA,92.1,90.7,88.2,89.5,90.3,87.5,89.2,
Hib (full series)\7,,,,,,,,
Total,79.6,79.9,80.2,80.8,79.5,79.6,80,
Not Hispanic or Latino\2:,,,,,,,,
White only,81.9,82.5,81.8,81.5,81.3,79.8,81.7,
Black or African American only,75.8,71.8,74.6,76.2,75.2,76.2,76.2,
American Indian or Alaska Native only,86.6,81.4,86.4,78.1,*,76.3,*,
Asian only,77.8,76.5,87.1,81.8,78.9,82.8,81.4,
Native Hawaiian or Other Pacific Islander only,*,*,88.4,*,*,*,*,
2 or more races,79.1,81.9,79.4,80.2,79.1,80.8,80.9,
Hispanic or Latino\2,77.8,79.8,78.3,82.2,79.2,80.4,78.6,
Poverty level\3:,,,,,,,,
Below poverty,74.7,72.8,75.2,75.7,71.2,74.3,71.9,
At or above poverty,82.9,83.8,83,84.1,82.9,82.2,83.3,
Location of residence\4:,,,,,,,,
Inside MSA:,,,,,,,,
Principal city,79.1,77.9,79.4,80.3,79,80.9,79.2,
Nonprincipal city,80.1,82.2,81.1,82.2,80.4,79.7,81.9,
Outside MSA,80.1,79.3,79.8,78.2,78.5,74.5,75.9,
"* Estimates are considered unreliable. Percentages are not shown if the unweighted sample size for the denominator is less than 30, the confidence interval half-width divided by the estimate is greater than 58.8%, or the confidence interval half-width is greater than 10.
\1Consists of: 1) 4 or more doses of diphtheria, tetanus toxoids, and pertussis vaccine (DTP), diphtheria and tetanus toxoids vaccine (DT), or diphtheria, tetanus toxoids, and acellular pertussis vaccine (DTaP); 2) 3 or more doses of any poliovirus vaccine; 3) 1 or more doses of a measles-containing vaccine (MCV); 4) 3 or more doses or 4 or more doses of Haemophilus influenzae type b vaccine (Hib), depending on Hib vaccine product type (full series Hib); 5) 3 or more doses of hepatitis B vaccine; 6) 1 or more doses of varicella vaccine; and 7) 4 or more doses of pneumococcal conjugate vaccine (PCV). 
\2People of Hispanic origin may be of any race. Estimates are tabulated using the 1997 “Revisions to the Standards for the Classification of Federal Data on Race and Ethnicity.” See Sources and Definitions, Hispanic origin; Race.
\3Based on family income and family size using U.S. Census Bureau poverty thresholds. See Sources and Definitions, Family income; Poverty. 
\4MSA is metropolitan statistical area. MSAs are defined based on the U.S. Office of Management and Budget delineation files. See Sources and Definitions, Metropolitan statistical area (MSA).
\5Includes diphtheria, tetanus toxoids, and pertussis vaccine (DTP), diphtheria and tetanus toxoids vaccine (DT), or diphtheria, tetanus toxoids, and acellular pertussis vaccine (DTaP).
\6Includes children who may have been vaccinated with at least 1 dose of measles, mumps, rubella, and varicella combination vaccine. 
\7Haemophilus influenzae type b vaccine (Hib) full series includes the primary series and booster doses, consisting of 3 or more or 4 or more doses depending on the product type received. 
\8PCV is pneumococcal conjugate vaccine. 
\9Includes 2 or more or 3 or more doses depending on the product type received.",,,,,,,,
"NOTES: Vaccination coverage estimates are based on provider-verified responses from parents who live in households with telephones. Data for birth year are based on the 3 subsequent survey years. For example, 2010 birth year data are based on 2011, 2012, and 2013 survey data. Starting in 2018, National Immunization Surveys shifted from a dual (landline and cell phone) sampling frame to a single (cell phone) sampling frame design. See Sources and Definitions, National Immunization Surveys (NIS); Vaccination. Additional information on childhood immunizations is available from: https://www.cdc.gov/vaccines/schedules/index.html. Due to methodological changes to report coverage by birth year, data analysis methods have been revised and differ from previous editions of Health, United States.",,,,,,,,
"SOURCE: National Center for Immunization and Respiratory Diseases (NCIRD), National Immunization Survey–Child.  Available from: https://www.cdc.gov/vaccines/imz-managers/coverage/childvaxview/index.html. See Sources and Definitions, National Immunization Surveys (NIS).",,,,,,,,
