Vaccine/Exemption,Dose,Geography Type,Geography,School Year,Estimate (%),Population Size,Percent Surveyed,Footnotes,Number of Exemptions,Survey Type
MMR,,States,Oregon,2023-24,91.2,39568,100,*. ‡,,Census
MMR,,States,Oregon,2024-25,90.5,38247,100,*. ‡,,Census
MMR,,States,Oklahoma,2010-11,NA,,,,,NA
MMR,,States,Oklahoma,2009-10,97.3,51128,88.9,,,Voluntary response
MMR,,States,Oklahoma,2017-18,92.6,53898,92.1,§,,Census (public). voluntary response (private)
MMR,,States,Oklahoma,2018-19,92.2,54806,92.1,§,,Census (public). voluntary response (private)
MMR,,States,Oklahoma,2016-17,NA,52184,0,‡.¶,,Census
MMR,,States,Oklahoma,2015-16,94.4,54335,96.1,‡,,Census
MMR,,States,Oklahoma,2019-20,93,55348,85.6,§,,Voluntary response
MMR,,States,Oklahoma,2020-21,90.5,52656,90,‡.§,,Census (public). voluntary response (private)
MMR,,States,Oklahoma,2021-22,90.9,54042,84.3,‡,,Vol. response
MMR,,States,Oklahoma,2014-15,90.3,56967,95.9,‡,,Census
MMR,,States,Oklahoma,2013-14,96.4,57377,71.3,,,Voluntary response
MMR,,States,Oklahoma,2012-13,90.5,56943,95.5,,,Census
MMR,,States,Oklahoma,2011-12,95,52987,90.9,¶,,Census
MMR,,States,Illinois,2016-17,94.9,151309,97.7,,,Census
MMR,,States,Illinois,2018-19,94.7,143876,100,*,,Census
MMR,,States,Illinois,2017-18,95.2,144858,100,*,,Census
MMR,,States,Illinois,2020-21,NR,,,,,Not Conducted
MMR,,States,Illinois,2019-20,96.6,145891,100,*,,Census
MMR,,States,Illinois,2021-22,92.1,137699,100,*,,Census
MMR,,States,Illinois,2015-16,94.9,151309,100,*,,Census
MMR,,States,Illinois,2011-12,97.3,163311,100,*,,Census
MMR,,States,Illinois,2012-13,95.5,166884,100,*,,Census
MMR,,States,Illinois,2013-14,94.7,163316,100,*,,Census
MMR,,States,Illinois,2014-15,94.7,156942,100,*,,Census
MMR,,States,Illinois,2009-10,94.5,165845,100,,,Census
MMR,,States,Illinois,2010-11,NA,,,,,NA
MMR,,States,District of Columbia,2023-24,92,7874,100,*,,Census
MMR,,States,District of Columbia,2024-25,92.7,7997,100,*,,Census
MMR,,States,Delaware,2015-16,97.6,11589,9.5,,,Stratified 2-stage cluster sample
MMR,,States,Delaware,2014-15,97.8,11476,7.9,,,Stratified 2-stage cluster sample
MMR,,States,Delaware,2013-14,96.4,11997,12.2,≥,,Stratified  2-stage cluster sample
MMR,,States,Delaware,2012-13,95.7,11997,7.8,≥,,2-stage Cluster Sample
MMR,,States,Delaware,2011-12,96.9,11327,7.4,≥,,2-stage Cluster Sample
MMR,,States,Delaware,2016-17,98.5,11490,9.3,,,Stratified 2-stage cluster sample
MMR,,States,Delaware,2018-19,97.8,10798,9.5,,,Stratified 2-stage cluster sample
MMR,,States,Delaware,2017-18,96.7,10988,9.5,,,Stratified 2-stage cluster sample
MMR,,States,Delaware,2021-22,96.4,11181,9.5,‡,,Stratified 2-stage cluster sample
MMR,,States,Delaware,2020-21,95.7,10587,9.2,,,Stratified 2-stage cluster sample
MMR,,States,Delaware,2019-20,NA,,,,,Not Conducted
MMR,,States,District of Columbia,2022-23,87.5,8064,100,*,,Census
MMR,,States,Kansas,2021-22,91,36526,29.5,†. ‡. §,,Stratified 1-stage cluster sample
MMR,,States,Kansas,2019-20,90,37865,34.3,†.‡.§,,Stratified 2-stage cluster sample
MMR,,States,Kansas,2020-21,92.6,34687,32.7,†.‡.§,,Stratified 2-stage cluster sample
MMR,,States,Kansas,2017-18,89.1,38484,23.1,†.‡.§,,Stratified 2-stage cluster sample
MMR,,States,Kansas,2018-19,90.8,37838,23.1,†.‡.§,,Stratified 2-stage cluster sample
MMR,,States,Kansas,2016-17,89.5,38298,22.9,†.‡.§,,Stratified 2-stage cluster sample
MMR,,States,Kansas,2015-16,89.4,39555,21,†.‡.§,,Stratified 2-stage cluster sample
MMR,,States,Kansas,2014-15,89.2,39685,24.5,†.‡,,Stratified 2-stage cluster sample
MMR,,States,Kansas,2013-14,86.9,41107,29,†. ‡,,Stratified 1-stage sample  (Public);  Census (Private)
MMR,,States,Kansas,2012-13,90,40738,31.8,†. ‡,,Stratified 1-stage sample  (Public);  Census (Private)
MMR,,States,Kansas,2011-12,88.2,38402,52.7,†,,Stratified 1-stage sample  (Public);  Census (Private)
MMR,,States,Kansas,2010-11,NA,,,,,NA
MMR,,States,Kansas,2009-10,90.9,39073,39.1,†,,Stratified 1-stage sample  (Public);  Census (Private)
MMR,,States,Kentucky,2024-25,86.9,51319,100,*. §,,Census
MMR,,States,Kentucky,2023-24,90,52609,100,>=. *. ‡. §,,Census
MMR,,States,North Carolina,2009-10,NA,116087,96,,,Census
MMR,,States,North Carolina,2010-11,NA,,,,,NA
MMR,,States,New Mexico,2023-24,95,20699,100,*,,Census
MMR,,States,New Mexico,2024-25,94.8,20180,100,*,,Census
MMR,,States,New Jersey,2014-15,92.3,120471,93.9,≥. ‡,,Census (public); Voluntary response (private)
MMR,,States,New Jersey,2013-14,96.8,123085,95.4,≥. ‡,,Census
MMR,,States,New Jersey,2012-13,97,122516,96.7,≥. ‡,,Census
MMR,,States,New Jersey,2011-12,NA,118669,96.6,,,Census
MMR,,States,New Jersey,2021-22,94.1,104240,100,>=. §. *,,Census
MMR,,States,New Jersey,2019-20,95.9,107900,100,≥.*,,Census
MMR,,States,New Jersey,2020-21,94.3,100144,100,>=.*,,Census
MMR,,States,New Jersey,2017-18,96.1,107630,100,≥.*,,Census
MMR,,States,New Jersey,2018-19,95,109161,100,≥.*,,Census
MMR,,States,New Jersey,2016-17,96.5,109577,100,≥.*,,Census
MMR,,States,New Jersey,2015-16,96.3,110116,100,≥.*,,Census
MMR,,States,New Jersey,2010-11,NA,,,,,NA
MMR,,States,New Jersey,2009-10,NA,118347,95.1,,,Census
MMR,,States,Pennsylvania,2024-25,92.4,140160,95.3,,,"Census (pub.), vol. response (prv.)"
MMR,,States,Pennsylvania,2023-24,93.5,137593,96.5,,,Census
MMR,,States,Colorado,2015-16,87.1,69137,0.5,,,Simple random sample
MMR,,States,Colorado,2014-15,86.9,70597,0.5,,,Simple random sample
MMR,,States,Colorado,2013-14,81.7,69904,0.5,,,Random Sample
MMR,,States,Colorado,2012-13,85.7,70657,0.5,,,Simple Random Sample
MMR,,States,Colorado,2011-12,86.8,70142,0.5,,,Simple Random Sample
MMR,,States,Colorado,2016-17,87.3,64440,100,*,,Census
MMR,,States,Colorado,2018-19,87.4,64191,100,*,,Census
MMR,,States,Colorado,2017-18,88.7,65718,100,*,,Census
MMR,,States,Colorado,2021-22,88.4,66900,97.5,,,Census
MMR,,States,Colorado,2020-21,90.5,63619,97.3,,,Census
MMR,,States,Colorado,2019-20,91.1,69088,98.2,,,Census
MMR,,States,North Carolina,2022-23,94,125679,83.1,§. ‡,,Vol. response
MMR,,States,North Carolina,2023-24,93.8,125964,90.8,§,,"Census (pub.), vol. response (prv.)"
MMR,,States,Montana,2015-16,94.9,11484,100,*,,Census
MMR,,States,Montana,2014-15,94.6,12501,95.7,,,Census (public); Voluntary response (private)
MMR,,States,Montana,2013-14,93.7,12855,95.4,,,Census
MMR,,States,Montana,2012-13,94.8,12516,95.8,,,Census
MMR,,States,Montana,2011-12,95,12128,100,*,,Census
MMR,,States,Montana,2019-20,93.6,12501,100,*,,Census
MMR,,States,Montana,2020-21,92.9,11279,100,*,,Census
MMR,,States,Montana,2017-18,93.2,12188,100,*,,Census
MMR,,States,Montana,2018-19,93.3,12480,100,*,,Census
MMR,,States,Montana,2016-17,93.8,11956,100,*,,Census
MMR,,States,New Mexico,2015-16,96.2,29049,2.7,†,,Stratified 2-stage cluster sample
MMR,,States,New Mexico,2016-17,95.5,27119,4.5,,,Stratified 2-stage cluster sample
MMR,,States,New Mexico,2018-19,96.1,25269,99.6,,,Census
MMR,,States,New Mexico,2017-18,94.8,26896,99.6,,,Stratified 2-stage cluster sample
MMR,,States,New Mexico,2020-21,95.7,20589,100,*,,Census
MMR,,States,New Mexico,2019-20,97,23087,100,*,,Census
MMR,,States,New Mexico,2021-22,94.3,20736,100,*,,Census
MMR,,States,New Mexico,2011-12,95.7,29159,2,,,2-stage Cluster Sample
MMR,,States,New Mexico,2012-13,93.9,29279,3.3,‡ ,,2-stage Cluster Sample
MMR,,States,New Mexico,2013-14,95.9,30725,2.7,‡,,Stratified  2-stage cluster sample
MMR,,States,New Mexico,2014-15,97.7,29918,3.3,†,,Stratified 2-stage cluster sample
MMR,,States,New York,2024-25,97.8,234054,85.1,,,Vol. response
MMR,,States,New York,2023-24,97.7,200894,98.8,,,Census
MMR,,States,New Mexico,2009-10,97.6,26318,2.2,,,Random sample
MMR,,States,New Mexico,2010-11,NA,,,,,NA
MMR,,States,Indiana,2022-23,92,81307,87.5,§,,"Vol. response (pub.), census (pvt.)"
MMR,,States,Louisiana,2022-23,92.2,54314,100,*,,Census
MMR,,States,Utah,2022-23,90,46635,100,*,,Census
MMR,,States,Utah,2023-24,88.8,46228,100,*,,Census
MMR,,States,Utah,2024-25,88.6,45818,100,*,,Census
MMR,,States,Minnesota,2023-24,87,66032,99.1,,,Census
MMR,,States,Minnesota,2024-25,86.5,64898,99.7,,,Census
MMR,,States,Michigan,2010-11,NA,,,,,NA
