Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2024,7,July,0,2,0,0
2024,3,March,0,0,6,0
2023,8,August,0,0,5,0
2023,5,May,0,0,6,0
2022,7,July,0,0,6,0
2022,4,April,0,1,1,0
2022,2,February,0,0,6,0
2021,10,October,0,2,0,0
2021,3,March,0,0,2,0
2020,12,December,0,0,4,0
2020,2,February,0,0,6,0
2019,9,September,0,0,2,1
2019,7,July,0,0,2,4
2019,6,June,0,0,0,1
2019,5,May,0,0,6,2
2019,4,April,0,0,4,7
2019,3,March,0,0,11,3
2019,1,January,0,0,2,19
