Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,3,March,2,0,4,0
2024,7,July,0,0,2,0
2023,5,May,0,0,8,0
2023,2,February,0,0,5,0
2022,12,December,0,0,5,1
2022,5,May,0,0,16,0
2021,11,November,0,0,6,0
2021,3,March,0,0,6,0
2021,1,January,0,0,5,0
2020,12,December,0,0,12,0
2020,11,November,0,0,1,4
2020,3,March,0,0,7,0
2020,2,February,0,0,1,0
2020,1,January,0,0,11,0
2019,12,December,0,0,4,11
2019,11,November,0,0,8,4
2019,10,October,0,0,4,3
2019,9,September,0,0,1,2
2019,7,July,0,0,0,24
2019,6,June,0,0,0,4
2019,5,May,0,0,0,9
2019,3,March,1,0,0,10
2019,1,January,0,0,0,1
