Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,20,12,116,126
2025,7,July,27,25,176,188
2025,6,June,56,54,253,282
2025,5,May,49,52,231,169
2025,4,April,33,47,302,226
2025,3,March,57,34,356,463
2025,2,February,39,30,191,191
2025,1,January,58,67,222,309
2024,12,December,44,44,266,214
2024,11,November,101,99,238,198
2024,10,October,38,56,158,183
2024,9,September,29,44,126,155
2024,8,August,35,50,76,70
2024,7,July,39,32,143,180
2024,6,June,23,24,134,159
2024,5,May,41,52,175,167
2024,4,April,41,33,170,245
2024,3,March,30,29,247,299
2024,2,February,3,19,216,164
2024,1,January,41,56,199,343
2023,12,December,34,17,230,127
2023,11,November,18,46,265,249
2023,10,October,30,49,113,100
2023,9,September,29,34,141,124
2023,8,August,16,7,79,112
2023,7,July,26,31,184,162
2023,6,June,28,16,161,159
2023,5,May,15,10,110,91
2023,4,April,23,26,169,168
2023,3,March,20,24,254,298
2023,2,February,16,17,134,192
2023,1,January,23,35,124,280
2022,12,December,33,31,284,121
2022,11,November,21,23,215,160
2022,10,October,26,20,149,163
2022,9,September,19,16,74,82
2022,8,August,22,12,84,90
2022,7,July,28,22,187,157
2022,6,June,29,35,231,337
2022,5,May,25,31,186,128
2022,4,April,27,36,120,113
2022,3,March,30,40,266,374
2022,2,February,29,42,230,304
2022,1,January,39,52,137,254
2021,12,December,28,42,319,165
2021,11,November,23,45,219,259
2021,10,October,45,32,104,129
2021,9,September,16,16,68,70
2021,8,August,26,35,76,91
2021,7,July,33,6,118,163
2021,6,June,20,12,186,248
2021,5,May,25,20,79,135
2021,4,April,55,39,158,132
2021,3,March,52,31,152,315
2021,2,February,21,12,124,160
2021,1,January,24,36,68,159
2020,12,December,31,17,140,95
2020,11,November,30,33,120,124
2020,10,October,19,28,50,42
2020,9,September,11,11,47,54
2020,8,August,23,15,52,53
2020,7,July,10,1,34,37
2020,6,June,19,18,58,91
2020,5,May,5,7,4,23
2020,4,April,0,0,7,8
2020,3,March,12,4,205,314
2020,2,February,18,35,128,95
2020,1,January,21,15,96,209
2019,12,December,41,43,185,117
2019,11,November,47,31,104,142
2019,10,October,30,25,86,59
2019,9,September,29,30,39,74
2019,8,August,25,25,85,56
2019,7,July,10,10,62,98
2019,6,June,37,16,77,54
2019,5,May,43,31,68,72
2019,4,April,28,23,98,92
2019,3,March,16,21,168,169
2019,2,February,19,21,73,85
2019,1,January,34,39,117,152
