Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,8,10,42,11
2025,7,July,4,19,49,14
2025,6,June,1,6,52,4
2025,5,May,4,12,33,15
2025,4,April,4,7,23,30
2025,3,March,0,2,22,22
2025,2,February,7,5,19,27
2025,1,January,3,8,15,0
2024,12,December,0,4,10,6
2024,11,November,0,2,50,34
2024,10,October,1,11,23,11
2024,9,September,5,18,30,11
2024,8,August,2,15,58,17
2024,7,July,0,7,46,7
2024,6,June,3,10,81,8
2024,5,May,4,9,46,11
2024,4,April,2,6,20,0
2024,3,March,1,4,46,0
2024,2,February,0,0,3,0
2024,1,January,0,9,24,7
2023,12,December,4,7,33,14
2023,11,November,4,3,23,5
2023,10,October,0,10,22,7
2023,9,September,5,1,10,0
2023,8,August,0,0,74,5
2023,7,July,3,23,34,7
2023,6,June,3,5,56,6
2023,5,May,0,8,44,1
2023,4,April,9,4,33,0
2023,3,March,0,7,23,10
2023,2,February,1,6,41,12
2023,1,January,0,3,23,13
2022,12,December,0,0,31,15
2022,11,November,1,8,59,9
2022,10,October,3,4,31,27
2022,9,September,4,15,19,0
2022,8,August,1,6,36,15
2022,7,July,4,13,34,21
2022,6,June,9,14,80,4
2022,5,May,2,5,20,2
2022,4,April,6,5,18,7
2022,3,March,0,4,10,8
2022,2,February,2,1,13,23
2022,1,January,0,2,7,1
2021,12,December,1,3,16,15
2021,11,November,0,0,1,3
2021,10,October,4,1,15,4
2021,9,September,13,10,9,2
2021,8,August,5,14,13,6
2021,7,July,0,7,7,0
2021,6,June,0,0,31,13
2021,5,May,3,4,19,19
2021,4,April,0,0,13,0
2021,3,March,0,0,23,0
2021,2,February,0,0,4,0
2021,1,January,4,5,25,22
2020,12,December,0,1,0,0
2020,11,November,4,0,3,8
2020,10,October,0,3,2,0
2020,9,September,1,1,0,0
2020,7,July,4,2,0,0
2020,5,May,0,0,0,2
2020,3,March,0,8,57,19
2020,2,February,4,3,13,4
2020,1,January,0,1,15,7
2019,12,December,11,3,21,21
2019,11,November,1,2,45,22
2019,10,October,1,5,36,21
2019,9,September,4,9,21,7
2019,8,August,1,9,35,11
2019,7,July,0,5,63,39
2019,6,June,7,11,39,20
2019,5,May,17,11,51,28
2019,4,April,9,9,24,34
2019,3,March,15,15,37,28
2019,2,February,1,7,26,15
2019,1,January,3,5,19,10
