Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,7,July,0,3,5,0
2025,6,June,0,0,5,0
2025,3,March,0,0,3,0
2024,8,August,0,5,0,0
2024,7,July,0,9,0,0
2023,10,October,0,1,0,0
2023,9,September,0,4,0,0
2023,8,August,0,1,7,0
2023,2,February,0,3,0,0
2023,1,January,0,0,6,0
2022,10,October,0,0,0,6
2022,9,September,0,8,0,8
2022,8,August,0,1,4,0
2022,7,July,2,2,8,0
2022,5,May,0,0,18,0
2022,4,April,0,2,0,0
2021,11,November,0,1,0,0
2021,8,August,0,32,3,0
2021,7,July,0,1,0,0
2021,3,March,0,0,4,0
2021,1,January,0,6,1,0
2020,12,December,0,2,0,0
2020,10,October,0,1,0,0
2020,8,August,0,8,2,0
2020,3,March,1,3,0,0
2019,10,October,0,0,2,0
2019,9,September,4,3,4,0
2019,8,August,0,2,6,0
2019,7,July,1,0,4,2
2019,5,May,0,12,0,0
2019,2,February,0,0,1,0
2019,1,January,0,0,4,0
