Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,4,17,12
2025,7,July,14,15,13,23
2025,6,June,6,12,8,0
2025,5,May,0,6,20,28
2025,4,April,23,12,20,22
2025,3,March,29,24,19,8
2025,2,February,19,8,28,12
2025,1,January,26,20,14,11
2024,12,December,20,10,42,22
2024,11,November,10,0,12,13
2024,10,October,7,0,6,16
2024,9,September,0,0,10,9
2024,8,August,15,3,11,2
2024,7,July,0,10,2,5
2024,6,June,5,6,0,157
2024,5,May,4,4,0,0
2024,4,April,0,4,8,12
2024,3,March,29,17,40,8
2024,2,February,5,21,4,0
2024,1,January,24,8,15,15
2023,12,December,1,3,37,22
2023,11,November,10,3,17,13
2023,10,October,14,11,15,4
2023,9,September,6,6,0,0
2023,8,August,0,19,11,10
2023,7,July,0,0,16,9
2023,6,June,0,0,23,2
2023,5,May,6,13,6,10
2023,4,April,16,14,2,8
2023,3,March,8,10,23,20
2023,2,February,2,2,29,10
2023,1,January,8,9,24,15
2022,12,December,5,5,56,17
2022,11,November,1,0,18,17
2022,10,October,5,16,2,0
2022,9,September,0,0,9,0
2022,8,August,0,3,29,8
2022,7,July,0,0,17,14
2022,6,June,0,2,15,0
2022,5,May,0,0,9,16
2022,4,April,14,19,9,4
2022,3,March,9,7,11,0
2022,2,February,2,8,22,0
2022,1,January,5,6,20,0
2021,12,December,7,5,7,4
2021,11,November,0,6,19,0
2021,10,October,0,1,14,6
2021,9,September,0,3,7,0
2021,8,August,4,3,43,9
2021,7,July,8,0,5,9
2021,6,June,0,0,13,0
2021,5,May,5,24,8,3
2021,4,April,0,134,5,0
2021,3,March,50,483,32,6
2021,2,February,112,324,31,27
2021,1,January,14,15,15,19
2020,12,December,4,3,8,15
2020,11,November,0,0,1,0
2020,10,October,2,2,6,8
2020,9,September,11,1,3,1
2020,8,August,0,1,0,0
2020,7,July,0,10,0,0
2020,6,June,0,0,11,0
2020,3,March,0,7,9,11
2020,2,February,0,0,4,2
2020,1,January,0,1,11,10
2019,12,December,0,0,9,0
2019,11,November,0,6,22,11
2019,10,October,0,9,17,0
2019,9,September,5,4,14,18
2019,8,August,1,5,27,16
2019,7,July,1,2,32,21
2019,6,June,1,2,18,18
2019,5,May,0,0,15,11
2019,4,April,7,7,21,9
2019,3,March,0,2,36,13
2019,2,February,8,17,2,8
2019,1,January,0,0,21,22
