Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,1,5,7
2025,7,July,1,0,2,8
2025,6,June,0,2,6,3
2025,5,May,0,0,1,1
2025,4,April,0,0,0,5
2024,10,October,4,0,0,1
2024,9,September,1,1,0,2
2024,8,August,0,1,6,4
2024,7,July,3,4,6,7
2024,6,June,3,15,7,6
2024,5,May,5,1,5,4
2024,4,April,0,0,1,0
2024,3,March,0,1,2,4
2024,2,February,0,0,1,0
2024,1,January,0,0,2,0
2023,9,September,0,0,4,6
2023,8,August,2,8,6,7
2023,7,July,0,0,4,17
2023,6,June,1,0,1,5
2023,5,May,1,1,4,5
2023,4,April,0,0,1,1
2023,3,March,0,0,0,2
2023,1,January,1,0,0,2
2022,12,December,1,1,1,0
2022,10,October,0,0,0,2
2022,9,September,1,0,1,12
2022,8,August,0,0,1,2
2022,7,July,5,1,8,8
2022,6,June,4,0,0,1
2022,5,May,2,0,2,11
2022,4,April,0,0,2,0
2022,3,March,0,0,0,2
2021,11,November,0,0,0,1
2021,10,October,0,0,10,0
2021,9,September,1,0,0,1
2021,8,August,0,0,0,3
2020,10,October,0,0,0,1
2020,8,August,1,0,0,0
2020,4,April,0,0,0,4
2020,2,February,0,0,1,0
2019,10,October,2,0,0,1
2019,9,September,0,0,0,4
2019,8,August,5,10,4,10
2019,7,July,0,0,6,0
2019,6,June,1,1,8,12
2019,5,May,0,0,2,2
2019,4,April,0,1,0,6
2019,3,March,0,0,6,0
2019,2,February,0,0,8,4
2019,1,January,0,0,3,4
