Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,7243,7615,2178,2465
2025,7,July,7779,6675,2633,3229
2025,6,June,5812,5122,2228,2696
2025,5,May,2478,2152,1563,890
2025,4,April,609,147,283,260
2025,3,March,66,84,193,192
2025,2,February,209,114,181,165
2025,1,January,185,372,278,385
2024,12,December,100,93,333,127
2024,11,November,64,171,348,275
2024,10,October,335,369,763,187
2024,9,September,2716,4900,1633,1139
2024,8,August,6860,6834,1847,2492
2024,7,July,6936,6134,2442,2689
2024,6,June,5472,4627,2777,2900
2024,5,May,2268,1791,1939,758
2024,4,April,82,117,626,301
2024,3,March,2124,2105,418,156
2024,2,February,351,487,625,613
2024,1,January,70,73,588,649
2023,12,December,97,162,290,448
2023,11,November,58,116,573,303
2023,10,October,109,64,453,363
2023,9,September,3153,4399,1635,1812
2023,8,August,7788,7735,2112,2830
2023,7,July,8000,6637,2629,3680
2023,6,June,5181,4644,2741,3494
2023,5,May,2363,2133,1724,1149
2023,4,April,155,184,596,468
2023,3,March,88,103,664,511
2023,2,February,91,278,774,704
2023,1,January,47,336,1224,364
2022,12,December,96,86,677,493
2022,11,November,173,60,760,550
2022,10,October,86,77,394,657
2022,9,September,2057,4139,1397,1176
2022,8,August,6505,7292,1955,2627
2022,7,July,7058,5776,1837,2985
2022,6,June,4424,3172,1257,2110
2022,5,May,1328,849,521,483
2022,4,April,41,32,106,63
2022,3,March,43,24,193,183
2022,2,February,87,19,144,122
2022,1,January,55,23,239,240
2021,12,December,100,43,126,409
2021,11,November,83,33,26,80
2021,10,October,399,33,30,58
2021,9,September,83,238,35,289
2021,8,August,162,315,171,192
2021,7,July,68,548,147,390
2021,6,June,107,315,28,423
2021,5,May,38,87,10,81
2021,4,April,41,67,71,50
2021,3,March,149,164,27,54
2021,2,February,36,45,18,45
2021,1,January,35,51,93,70
2020,12,December,20,34,48,134
2020,11,November,42,28,45,117
2020,10,October,66,59,29,67
2020,9,September,54,58,33,72
2020,8,August,38,407,15,38
2020,7,July,38,797,187,189
2020,6,June,796,223,125,76
2020,5,May,76,603,124,54
2020,4,April,113,133,70,577
2020,3,March,31,181,62,67
2020,2,February,89,265,134,78
2020,1,January,71,244,266,342
2019,12,December,84,53,184,107
2019,11,November,106,226,265,211
2019,10,October,117,315,375,159
2019,9,September,3260,5192,1375,1449
2019,8,August,9217,9438,1776,2376
2019,7,July,9264,9287,2467,2683
2019,6,June,7761,7650,2307,3245
2019,5,May,3458,2737,1614,1044
2019,4,April,219,110,184,322
2019,3,March,79,87,277,162
2019,2,February,322,581,150,174
2019,1,January,72,295,412,137
