Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,4,5,69,28
2025,7,July,65,78,61,52
2025,6,June,2,7,58,34
2025,5,May,0,2,2,2
2025,4,April,10,26,6,2
2025,3,March,3,2,9,16
2025,2,February,9,0,5,8
2025,1,January,5,4,32,19
2024,12,December,9,12,32,8
2024,11,November,4,0,7,3
2024,10,October,4,8,41,21
2024,9,September,9,3,39,24
2024,8,August,12,3,41,42
2024,7,July,37,58,54,22
2024,6,June,5,2,40,29
2024,5,May,10,21,25,16
2024,4,April,9,6,14,13
2024,3,March,5,8,24,14
2024,2,February,8,1,11,0
2024,1,January,8,0,34,47
2023,12,December,8,2,30,3
2023,11,November,1,15,25,8
2023,10,October,4,1,36,25
2023,9,September,14,12,27,16
2023,8,August,8,13,30,16
2023,7,July,87,114,36,23
2023,6,June,6,16,25,4
2023,5,May,0,3,11,13
2023,4,April,12,7,12,9
2023,3,March,15,8,33,17
2023,2,February,1,0,30,9
2023,1,January,13,5,21,33
2022,12,December,6,8,35,5
2022,11,November,16,12,26,19
2022,10,October,0,8,29,18
2022,9,September,20,8,12,24
2022,8,August,0,2,19,13
2022,7,July,27,59,42,23
2022,6,June,2,13,35,14
2022,5,May,4,4,40,7
2022,4,April,2,2,11,0
2022,3,March,9,2,17,21
2022,2,February,6,0,18,3
2022,1,January,0,2,19,4
2021,12,December,0,0,32,0
2021,11,November,0,0,13,12
2021,10,October,9,4,18,19
2021,9,September,4,1,10,6
2021,8,August,3,13,17,9
2021,7,July,8,8,6,9
2021,6,June,0,10,11,18
2021,5,May,3,0,5,5
2021,4,April,0,0,0,2
2021,3,March,0,0,4,0
2021,2,February,0,0,0,5
2021,1,January,0,0,2,9
2020,11,November,0,0,0,3
2020,10,October,0,0,4,4
2020,9,September,3,0,0,6
2020,8,August,3,2,0,0
2020,7,July,0,4,8,3
2020,6,June,0,2,0,0
2020,5,May,0,0,0,11
2020,3,March,3,3,38,21
2020,2,February,0,0,31,12
2020,1,January,15,15,42,39
2019,12,December,4,0,28,10
2019,11,November,2,3,19,15
2019,10,October,5,19,42,27
2019,9,September,13,22,64,24
2019,8,August,7,4,56,41
2019,7,July,49,111,63,25
2019,6,June,3,32,93,33
2019,5,May,13,7,61,14
2019,4,April,0,2,23,16
2019,3,March,5,12,24,17
2019,2,February,1,8,21,5
2019,1,January,0,0,27,0
