Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,4,0
2025,7,July,0,4,8,0
2024,10,October,0,0,2,0
2024,7,July,0,12,0,0
2024,6,June,0,4,0,0
2023,12,December,0,6,0,0
2023,8,August,0,11,0,0
2023,7,July,0,3,4,0
2023,6,June,0,3,0,0
2023,3,March,0,6,0,0
2023,2,February,0,1,0,0
2022,12,December,0,3,0,0
2022,9,September,0,0,7,0
2022,8,August,0,0,7,0
2022,4,April,0,3,0,0
2022,1,January,0,3,6,0
2021,12,December,0,0,2,0
2021,11,November,0,0,1,0
2021,10,October,2,1,3,0
2021,8,August,0,0,7,0
2021,5,May,0,0,0,1
2021,1,January,1,2,0,0
2020,11,November,0,0,3,0
2020,7,July,0,2,4,0
2020,3,March,0,2,0,0
2020,2,February,0,2,0,0
2020,1,January,0,5,4,0
2019,10,October,0,3,1,0
2019,8,August,0,4,12,0
2019,7,July,0,2,7,0
2019,6,June,0,4,0,4
2019,5,May,0,0,1,0
2019,3,March,0,3,5,0
2019,2,February,0,0,1,0
2019,1,January,4,4,0,0
