Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,11,0
2025,7,July,0,0,29,0
2025,6,June,0,2,32,0
2025,5,May,0,11,1,0
2025,4,April,0,1,6,0
2025,2,February,0,3,1,0
2024,12,December,0,0,4,0
2024,11,November,0,2,0,0
2024,10,October,0,2,0,0
2024,8,August,0,6,7,0
2024,7,July,0,1,6,0
2024,6,June,0,0,3,0
2024,5,May,0,0,16,0
2024,3,March,0,0,1,0
2023,10,October,0,0,4,0
2023,9,September,0,0,2,0
2023,8,August,0,0,6,0
2023,7,July,0,1,1,0
2023,5,May,0,0,5,0
2023,4,April,0,0,4,0
2023,1,January,0,13,2,0
2022,12,December,0,8,0,0
2022,11,November,0,6,0,0
2022,10,October,0,16,5,0
2022,7,July,0,3,0,0
2022,4,April,0,11,5,0
2022,3,March,0,0,2,0
2022,2,February,0,3,0,0
2022,1,January,0,9,0,0
2021,12,December,0,2,0,0
2021,11,November,0,7,1,0
2021,10,October,0,3,0,0
2021,9,September,0,5,0,0
2021,8,August,0,1,4,0
2021,6,June,0,1,0,0
2021,3,March,0,1,6,0
2021,2,February,0,1,0,0
2021,1,January,0,3,0,0
2020,12,December,0,7,0,0
2020,11,November,0,9,1,0
2020,10,October,0,10,1,0
2020,9,September,0,1,0,0
2020,1,January,0,8,0,0
2019,11,November,0,6,0,0
2019,10,October,0,1,0,0
2019,9,September,0,8,1,0
2019,8,August,0,9,0,0
2019,6,June,0,1,5,0
2019,5,May,0,11,6,0
2019,4,April,0,10,6,0
2019,3,March,0,0,5,0
2019,2,February,0,7,0,0
2019,1,January,0,9,0,0
