Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,48,8,0
2025,7,July,0,33,7,0
2025,6,June,0,23,5,0
2025,5,May,0,0,2,0
2025,4,April,0,17,9,0
2025,3,March,0,68,51,0
2025,2,February,0,24,31,0
2025,1,January,0,84,33,0
2024,12,December,0,44,70,0
2024,11,November,0,10,6,0
2024,10,October,0,17,31,0
2024,9,September,0,56,4,0
2024,8,August,0,35,4,0
2024,7,July,0,17,13,0
2024,6,June,0,57,8,0
2024,5,May,0,9,14,0
2024,4,April,0,39,13,0
2024,3,March,0,56,43,0
2024,2,February,0,22,42,0
2024,1,January,0,35,14,0
2023,12,December,0,34,52,0
2023,11,November,0,0,9,0
2023,10,October,0,17,18,0
2023,9,September,0,13,13,0
2023,8,August,0,23,0,0
2023,7,July,0,8,8,0
2023,6,June,0,18,0,0
2023,5,May,0,2,18,0
2023,4,April,0,61,7,0
2023,3,March,0,41,23,0
2023,2,February,0,43,28,0
2023,1,January,0,104,16,0
2022,12,December,0,18,80,0
2022,11,November,0,0,3,0
2022,10,October,0,5,12,0
2022,9,September,0,12,6,0
2022,8,August,0,11,34,0
2022,7,July,0,24,21,0
2022,6,June,0,8,7,0
2022,5,May,0,2,8,0
2022,4,April,0,26,25,0
2022,3,March,0,73,40,0
2022,2,February,0,15,28,0
2022,1,January,0,108,24,0
2021,12,December,0,12,47,0
2021,11,November,0,1,10,0
2021,10,October,0,15,24,0
2021,9,September,0,22,1,0
2021,8,August,0,33,5,0
2021,7,July,0,4,40,0
2021,6,June,0,5,19,0
2021,5,May,0,0,14,0
2021,4,April,0,28,15,0
2021,3,March,0,46,39,0
2021,2,February,0,6,9,0
2021,1,January,0,10,32,0
2020,12,December,0,28,6,0
2020,11,November,0,7,31,0
2020,10,October,0,35,17,0
2020,9,September,0,18,8,0
2020,8,August,0,6,5,0
2020,7,July,0,26,18,0
2020,3,March,0,31,12,0
2020,2,February,0,35,10,0
2020,1,January,0,69,11,0
2019,12,December,0,42,101,0
2019,11,November,0,1,0,0
2019,10,October,0,14,3,0
2019,9,September,0,11,3,0
2019,8,August,0,17,5,0
2019,7,July,0,26,13,0
2019,6,June,0,1,4,0
2019,5,May,0,2,4,0
2019,4,April,0,18,6,0
2019,3,March,0,38,79,0
2019,2,February,0,49,32,0
2019,1,January,0,87,23,0
