Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,227292,239060,408931,452016
2025,7,July,201592,200431,514245,552728
2025,6,June,165164,178144,532694,525131
2025,5,May,197478,213059,493059,451031
2025,4,April,211283,206983,426898,445195
2025,3,March,176790,181435,479153,474903
2025,2,February,163731,169001,350290,346655
2025,1,January,196338,214900,344639,410259
2024,12,December,221534,230139,448138,393736
2024,11,November,173159,208791,344312,342384
2024,10,October,204080,210463,375309,398424
2024,9,September,193965,204096,394027,401235
2024,8,August,249904,250574,403003,437510
2024,7,July,210896,198294,463934,513659
2024,6,June,179935,188826,532762,519466
2024,5,May,211915,221592,478306,427940
2024,4,April,204983,200855,392596,423620
2024,3,March,190490,184393,439820,431573
2024,2,February,163444,172726,327832,326711
2024,1,January,196801,207737,318291,377702
2023,12,December,201821,212242,398302,355077
2023,11,November,157235,185555,326978,329113
2023,10,October,184964,193908,348978,382607
2023,9,September,179634,183134,374469,368363
2023,8,August,216545,214430,350366,393551
2023,7,July,180969,175249,443176,488103
2023,6,June,148121,155151,477454,467568
2023,5,May,164981,175025,414137,386999
2023,4,April,165380,159822,341731,359320
2023,3,March,148391,141238,356406,351765
2023,2,February,130651,128175,271662,271842
2023,1,January,149724,159132,275763,319335
2022,12,December,145082,153663,320533,290313
2022,11,November,127879,145773,269640,272323
2022,10,October,146420,150578,299397,320617
2022,9,September,141524,141596,308881,303184
2022,8,August,175058,169026,285857,327734
2022,7,July,138534,133760,345101,380924
2022,6,June,116684,121114,379333,358726
2022,5,May,135595,140268,319820,294978
2022,4,April,139031,135828,262705,268670
2022,3,March,113708,110569,263014,255972
2022,2,February,88631,89668,188739,180602
2022,1,January,100397,108038,171784,211845
2021,12,December,111322,126192,227821,201378
2021,11,November,93337,97549,201331,203213
2021,10,October,76666,81056,206099,216030
2021,9,September,74366,76918,201547,200511
2021,8,August,103374,86442,221468,261945
2021,7,July,76511,75285,251384,253821
2021,6,June,62127,67372,214965,201090
2021,5,May,61928,66068,168578,153986
2021,4,April,39663,40962,104592,108680
2021,3,March,40983,36899,94963,97699
2021,2,February,30096,31007,71823,69897
2021,1,January,50441,41078,82042,108247
2020,12,December,36694,53929,106928,86567
2020,11,November,25272,35010,69106,67910
2020,10,October,23991,27537,57755,57000
2020,9,September,17823,20415,43886,42440
2020,8,August,19979,21269,39248,40346
2020,7,July,13575,20352,30675,30218
2020,6,June,7237,14573,8834,10479
2020,5,May,3708,12530,3742,5603
2020,4,April,2694,12115,2656,6416
2020,3,March,80396,115421,129563,215429
2020,2,February,169137,168172,275550,281544
2020,1,January,193331,201794,282583,325171
2019,12,December,192282,201884,334403,295943
2019,11,November,163781,188943,267611,272609
2019,10,October,195066,198647,288782,301696
2019,9,September,190081,196346,296507,302389
2019,8,August,237081,251179,343822,390055
2019,7,July,207202,193854,416425,450517
2019,6,June,174979,183865,452131,438628
2019,5,May,204298,213707,393234,365136
2019,4,April,215548,212385,325141,351124
2019,3,March,184254,184493,388193,383319
2019,2,February,167766,165728,273641,274307
2019,1,January,190600,197156,285499,330248
