Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,339,373,58,60
2025,7,July,9,12,54,60
2025,6,June,89,2,4,15
2025,5,May,329,329,33,50
2025,4,April,184,187,9,26
2025,3,March,287,283,7,6
2025,2,February,2,3,12,10
2025,1,January,171,167,8,14
2024,12,December,6,6,0,10
2024,11,November,112,113,13,33
2024,10,October,184,183,5,6
2024,9,September,353,358,7,18
2024,8,August,195,194,49,73
2024,7,July,214,224,32,42
2024,6,June,9,24,25,9
2024,5,May,338,334,21,19
2024,4,April,9,10,12,30
2024,3,March,0,0,20,14
2024,2,February,187,0,0,1
2024,1,January,0,167,4,33
2023,12,December,183,0,2,15
2023,11,November,187,283,5,36
2023,10,October,3,5,29,28
2023,9,September,188,184,11,24
2023,8,August,177,182,26,80
2023,7,July,379,364,77,50
2023,6,June,13,7,10,6
2023,5,May,10,2,17,15
2023,4,April,10,6,44,44
2023,2,February,2,3,7,4
2023,1,January,261,181,3,35
2022,12,December,0,4,0,22
2022,11,November,234,158,18,41
2022,10,October,180,169,4,4
2022,9,September,206,160,4,19
2022,8,August,195,182,10,36
2022,7,July,6,12,5,16
2022,6,June,7,8,21,12
2022,5,May,2,2,21,6
2022,4,April,22,49,334,295
2022,3,March,32,19,187,87
2022,2,February,34,26,476,535
2022,1,January,13,13,113,217
2021,12,December,37,70,630,291
2021,11,November,36,37,373,463
2021,10,October,0,6,88,25
2021,9,September,2,0,2,2
2021,8,August,0,2,27,16
2021,7,July,7,4,22,41
2021,6,June,1,4,9,16
2021,5,May,2,0,0,9
2021,4,April,0,3,10,18
2021,3,March,4,2,0,4
2020,12,December,0,1,0,0
2020,11,November,0,0,11,6
2020,10,October,4,5,1,6
2020,8,August,0,2,13,4
2020,7,July,0,0,8,6
2020,3,March,0,2,0,3
2020,2,February,6,4,0,9
2020,1,January,0,2,4,4
2019,12,December,6,1,19,32
2019,11,November,9,8,7,47
2019,10,October,55,3,4,19
2019,9,September,5,36,18,4
2019,8,August,13,21,16,13
2019,7,July,0,0,10,24
2019,6,June,18,9,12,4
2019,5,May,11,15,5,16
2019,4,April,9,10,14,3
2019,3,March,0,0,3,8
2019,2,February,3,1,0,5
2019,1,January,0,0,1,3
