Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,9,0
2025,5,May,3,1,2,148
2025,4,April,0,21,10,0
2025,3,March,0,2,0,0
2025,2,February,0,3,0,0
2024,12,December,0,8,2,0
2024,7,July,0,0,8,0
2024,5,May,0,0,8,0
2024,4,April,82,80,7,1
2024,3,March,0,1,0,0
2024,1,January,0,8,0,0
2023,11,November,0,10,6,0
2023,10,October,0,8,0,0
2023,8,August,0,0,12,0
2023,7,July,0,0,1,0
2023,6,June,0,0,6,0
2023,5,May,0,3,0,0
2023,4,April,69,79,10,1
2023,3,March,0,0,1,8
2023,2,February,0,0,4,0
2023,1,January,0,0,4,0
2022,12,December,0,0,4,0
2022,11,November,0,0,9,0
2022,10,October,0,0,8,0
2022,8,August,25,0,4,168
2022,7,July,0,0,1,0
2022,6,June,3,0,0,5
2022,5,May,0,4,2,0
2022,4,April,130,165,2,2
2022,2,February,0,2,3,0
2021,11,November,0,6,0,0
2021,10,October,0,3,0,0
2021,9,September,0,7,0,0
2021,8,August,0,0,4,0
2021,5,May,0,4,0,0
2021,3,March,0,2,2,0
2021,2,February,0,0,1,0
2020,12,December,0,0,2,0
2019,11,November,0,0,2,0
2019,10,October,0,5,1,0
2019,8,August,0,0,8,0
2019,5,May,0,0,1,0
2019,4,April,125,172,18,4
2019,3,March,0,4,2,0
2019,2,February,0,10,4,0
