Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,7366,8949,42980,49562
2025,7,July,8095,7722,60398,60680
2025,6,June,6030,7521,59299,54653
2025,5,May,8112,7603,49111,48476
2025,4,April,7671,7404,46059,49940
2025,3,March,6454,6475,47753,48761
2025,2,February,4841,5213,34727,33966
2025,1,January,6403,6928,32975,39006
2024,12,December,8044,9571,41613,38471
2024,11,November,6725,7605,36017,35216
2024,10,October,6359,6766,34071,35809
2024,9,September,6216,7108,32053,35535
2024,8,August,8530,8926,40386,46261
2024,7,July,9132,7958,59269,59011
2024,6,June,6235,6935,61337,56106
2024,5,May,7369,6802,46464,43731
2024,4,April,6187,6223,40851,45583
2024,3,March,7369,6282,53126,51666
2024,2,February,5793,5897,40130,39224
2024,1,January,7970,7926,40161,44714
2023,12,December,8184,9021,43264,39653
2023,11,November,7491,8440,41244,39983
2023,10,October,8495,8792,39953,41550
2023,9,September,7906,8666,36312,37222
2023,8,August,10839,11844,56121,62188
2023,7,July,10767,9489,66495,67732
2023,6,June,6196,6622,61679,55288
2023,5,May,8038,7679,53665,50499
2023,4,April,6219,6396,51548,52724
2023,3,March,5823,5084,47906,46910
2023,2,February,3655,3698,32709,32676
2023,1,January,5519,5039,33335,35420
2022,12,December,5831,6765,36855,34301
2022,11,November,5154,5504,31935,33149
2022,10,October,6578,6589,30243,32843
2022,9,September,6396,6549,32546,34518
2022,8,August,8334,8652,43538,48741
2022,7,July,8187,6089,44841,49100
2022,6,June,6100,5415,43572,41707
2022,5,May,4447,4033,41377,41444
2022,4,April,2567,2262,41360,43520
2022,3,March,2700,2365,39413,39582
2022,2,February,1804,1894,29515,29168
2022,1,January,3232,2942,22144,28367
2021,12,December,3389,4730,34733,30693
2021,11,November,2258,2649,30344,31754
2021,10,October,2051,2300,28373,28064
2021,9,September,2056,2474,25195,26209
2021,8,August,2232,2183,32298,36279
2021,7,July,2162,1593,36737,37179
2021,6,June,1770,1414,31407,32307
2021,5,May,1795,1473,29850,29905
2021,4,April,1420,1018,21677,22533
2021,3,March,987,933,18883,16481
2021,2,February,886,760,10541,9984
2021,1,January,2010,1316,11811,15871
2020,12,December,1555,2743,18431,14365
2020,11,November,1166,1218,12844,12098
2020,10,October,773,683,7762,8426
2020,9,September,668,548,6276,7213
2020,8,August,706,627,6601,8015
2020,7,July,877,729,6414,6727
2020,6,June,63,16,418,823
2020,5,May,20,8,254,507
2020,4,April,28,25,107,603
2020,3,March,2581,2895,19688,29087
2020,2,February,4965,5157,38116,38320
2020,1,January,7109,7748,35627,40727
2019,12,December,8157,9794,42915,39974
2019,11,November,6769,8103,37111,36373
2019,10,October,6764,7175,26985,28657
2019,9,September,7324,8275,25381,28288
2019,8,August,9131,10881,41515,47060
2019,7,July,9824,8094,53288,57094
2019,6,June,8019,7941,56169,53302
2019,5,May,7792,7092,42907,43295
2019,4,April,7147,6800,38915,42172
2019,3,March,7732,7973,48998,49577
2019,2,February,6277,6145,36971,37402
2019,1,January,7862,7773,37934,43277
