Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,6,June,0,0,14,0
2025,5,May,0,0,4,0
2025,3,March,0,0,12,0
2024,10,October,0,0,2,0
2024,7,July,0,0,8,0
2024,4,April,0,0,6,0
2024,3,March,0,0,8,0
2024,1,January,0,1,0,0
2023,12,December,0,0,4,0
2023,11,November,0,0,9,0
2023,5,May,0,0,6,0
2023,2,February,0,0,8,0
2022,12,December,0,2,8,0
2022,10,October,0,0,29,0
2022,7,July,0,0,3,0
2022,6,June,0,0,16,0
2022,5,May,0,4,8,0
2022,4,April,0,0,8,0
2021,11,November,0,0,1,0
2021,7,July,0,0,1,0
