Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,175,93,262,501
2025,7,July,127,54,254,729
2025,6,June,90,51,345,688
2025,5,May,61,77,317,484
2025,4,April,160,56,96,287
2025,3,March,80,79,58,212
2025,2,February,73,48,113,281
2025,1,January,160,35,111,248
2024,12,December,67,431,101,226
2024,11,November,98,40,143,324
2024,10,October,160,30,183,465
2024,9,September,97,39,210,703
2024,8,August,265,34,199,701
2024,7,July,128,85,390,858
2024,6,June,223,34,544,1318
2024,5,May,95,82,381,462
2024,4,April,61,24,91,212
2024,3,March,54,5,153,192
2024,2,February,90,43,74,150
2024,1,January,108,47,67,209
2023,12,December,77,28,84,171
2023,11,November,120,45,113,291
2023,10,October,117,30,162,639
2023,9,September,216,47,237,940
2023,8,August,218,111,600,803
2023,7,July,264,81,333,1167
2023,6,June,164,113,432,855
2023,5,May,139,59,347,388
2023,4,April,154,49,350,387
2023,3,March,163,44,109,410
2023,2,February,160,58,108,209
2023,1,January,95,92,136,214
2022,12,December,95,55,88,220
2022,11,November,61,54,93,349
2022,10,October,157,46,236,589
2022,9,September,123,80,397,785
2022,8,August,193,46,449,941
2022,7,July,156,113,509,1083
2022,6,June,151,59,498,855
2022,5,May,100,35,250,323
2022,4,April,105,54,164,289
2022,3,March,91,36,149,336
2022,2,February,250,75,76,241
2022,1,January,50,37,70,155
2021,12,December,64,48,158,194
2021,11,November,249,40,134,390
2021,10,October,120,48,135,349
2021,9,September,80,50,177,447
2021,8,August,70,54,197,414
2021,7,July,54,120,510,380
2021,6,June,93,75,146,252
2021,5,May,52,40,28,103
2021,4,April,35,9,37,85
2021,3,March,87,38,10,49
2021,2,February,71,19,8,67
2021,1,January,81,14,36,59
2020,12,December,24,5,28,113
2020,11,November,58,4,18,99
2020,10,October,18,9,25,80
2020,9,September,13,21,28,46
2020,8,August,9,15,50,8
2020,7,July,12,11,111,43
2020,6,June,3,17,18,15
2020,5,May,37,38,14,14
2020,4,April,0,21,20,107
2020,3,March,95,237,49,266
2020,2,February,109,37,358,225
2020,1,January,106,63,122,149
2019,12,December,205,80,84,397
2019,11,November,111,69,67,240
2019,10,October,149,62,210,491
2019,9,September,167,66,211,706
2019,8,August,146,130,165,537
2019,7,July,419,90,272,1270
2019,6,June,169,89,330,706
2019,5,May,186,69,145,407
2019,4,April,175,140,129,335
2019,3,March,182,288,81,281
2019,2,February,104,34,200,224
2019,1,January,121,40,68,183
