Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,22,31,80,71
2025,7,July,19,65,74,105
2025,6,June,4,12,77,55
2025,5,May,0,8,12,4
2025,4,April,0,2,22,12
2025,3,March,0,0,4,4
2025,1,January,0,0,9,8
2024,12,December,0,3,2,0
2024,11,November,0,4,0,5
2024,10,October,0,20,25,0
2024,9,September,20,29,18,18
2024,8,August,23,74,91,78
2024,7,July,11,57,68,28
2024,6,June,5,34,32,77
2024,5,May,0,9,20,15
2024,3,March,1,0,2,7
2024,2,February,0,0,2,3
2024,1,January,0,0,1,1
2023,12,December,0,5,9,20
2023,11,November,0,0,0,4
2023,10,October,0,16,20,15
2023,9,September,0,43,53,10
2023,8,August,17,81,61,24
2023,7,July,8,107,105,73
2023,6,June,24,6,59,35
2023,5,May,0,14,19,4
2023,4,April,0,4,5,5
2023,3,March,0,0,0,6
2023,2,February,2,0,3,13
2023,1,January,0,6,1,40
2022,12,December,0,0,10,5
2022,11,November,0,8,1,10
2022,10,October,4,6,30,19
2022,9,September,5,51,42,18
2022,8,August,29,87,71,34
2022,7,July,14,62,32,36
2022,6,June,12,22,56,10
2022,5,May,0,8,8,5
2022,4,April,0,2,4,7
2022,3,March,0,1,8,0
2022,2,February,0,0,2,0
2022,1,January,2,2,1,5
2021,12,December,0,9,6,8
2021,11,November,12,3,9,22
2021,10,October,0,4,14,2
2021,9,September,5,17,28,7
2021,8,August,0,27,34,10
2021,7,July,0,17,34,6
2021,6,June,2,3,7,15
2021,5,May,2,0,14,36
2021,4,April,0,3,19,6
2021,3,March,0,0,0,4
2020,12,December,0,0,15,4
2020,11,November,14,23,1,2
2020,10,October,0,0,11,4
2020,9,September,0,0,4,0
2020,8,August,0,38,16,0
2020,7,July,0,1,1,0
2020,6,June,0,1,1,0
2020,5,May,0,0,0,4
2020,2,February,1,1,8,16
2019,12,December,0,0,0,5
2019,11,November,0,1,3,0
2019,10,October,5,10,5,11
2019,9,September,1,19,9,4
2019,8,August,51,48,42,23
2019,7,July,12,88,36,14
2019,6,June,19,47,28,21
2019,5,May,32,25,12,2
2019,4,April,0,3,4,0
2019,2,February,0,6,2,0
2019,1,January,0,0,0,6
