Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,2,1,6
2025,7,July,7,2,4,0
2025,6,June,1,2,0,12
2025,5,May,1,1,0,7
2025,4,April,0,6,0,0
2025,3,March,3,0,0,6
2025,2,February,7,18,0,0
2024,12,December,0,5,0,0
2024,11,November,0,6,0,1
2024,10,October,6,0,0,0
2024,9,September,0,1,2,3
2024,8,August,0,0,10,0
2024,7,July,7,2,4,3
2024,6,June,1,6,4,0
2024,5,May,1,4,0,6
2024,4,April,1,2,0,3
2024,3,March,0,3,0,3
2024,2,February,0,0,0,1
2023,12,December,0,0,7,0
2023,11,November,12,7,0,0
2023,10,October,0,3,8,0
2023,9,September,0,0,0,1
2023,8,August,0,4,2,0
2023,7,July,5,3,9,7
2023,6,June,0,0,18,0
2023,5,May,1,2,12,0
2023,4,April,9,3,9,0
2023,2,February,3,0,0,0
2022,12,December,0,5,0,0
2022,11,November,0,4,0,0
2022,10,October,2,1,6,0
2022,9,September,2,2,3,2
2022,8,August,7,7,0,3
2022,7,July,6,11,2,3
2022,6,June,3,1,0,4
2022,5,May,6,0,3,0
2022,4,April,18,6,0,5
2022,3,March,1,1,6,3
2022,1,January,2,3,0,0
2021,12,December,0,2,0,0
2021,11,November,0,6,3,0
2021,10,October,0,0,4,0
2021,9,September,0,0,2,2
2021,8,August,0,1,9,0
2021,7,July,2,1,0,0
2021,6,June,0,1,0,0
2021,4,April,2,0,0,1
2021,2,February,0,1,0,0
2021,1,January,0,1,0,0
2020,12,December,1,5,0,0
2020,11,November,6,9,0,0
2020,9,September,3,1,0,5
2020,8,August,4,9,0,0
2020,7,July,3,4,0,0
2020,6,June,1,1,1,0
2020,5,May,0,1,0,0
2020,2,February,3,4,2,2
2020,1,January,1,4,0,0
2019,12,December,4,4,0,0
2019,11,November,3,2,2,8
2019,10,October,2,0,0,2
2019,9,September,0,7,0,1
2019,8,August,3,6,3,5
2019,7,July,9,11,0,8
2019,6,June,6,0,0,5
2019,5,May,1,0,0,0
2019,4,April,1,6,3,0
2019,3,March,2,0,0,0
2019,2,February,13,0,6,1
2019,1,January,9,8,0,3
