Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,1,0,14,71
2025,7,July,2,0,11,44
2025,6,June,0,5,4,55
2025,5,May,0,1,5,10
2025,3,March,0,1,0,0
2025,2,February,0,0,0,1
2024,12,December,0,8,0,0
2024,10,October,0,0,4,5
2024,9,September,2,1,6,11
2024,8,August,2,0,8,102
2024,7,July,1,0,11,69
2024,6,June,1,1,26,54
2024,5,May,0,6,4,15
2024,4,April,0,1,0,0
2024,2,February,1,0,0,0
2023,12,December,0,8,0,0
2023,11,November,0,0,0,1
2023,10,October,1,2,5,6
2023,9,September,0,0,5,12
2023,8,August,2,0,7,115
2023,7,July,0,0,14,28
2023,6,June,0,0,5,47
2023,5,May,1,0,2,11
2023,4,April,1,1,0,0
2023,3,March,0,0,0,5
2023,2,February,0,0,1,1
2023,1,January,0,1,0,0
2022,12,December,0,6,0,0
2022,10,October,1,0,0,4
2022,9,September,1,0,5,12
2022,8,August,1,6,14,48
2022,7,July,0,1,1,25
2022,6,June,0,1,3,22
2022,5,May,0,0,0,25
2022,3,March,0,0,1,1
2021,11,November,0,0,1,1
2021,10,October,1,1,0,2
2021,9,September,1,5,2,4
2021,8,August,1,3,0,2
2021,6,June,0,2,0,0
2021,3,March,0,1,0,0
2021,2,February,0,3,0,0
2020,12,December,0,1,0,0
2020,10,October,1,1,0,0
2020,8,August,1,0,0,6
2020,7,July,0,0,0,1
2019,12,December,0,0,3,0
2019,10,October,0,2,1,0
2019,9,September,0,0,11,26
2019,8,August,1,0,21,84
2019,7,July,6,7,18,65
2019,6,June,0,0,19,94
2019,5,May,1,0,3,32
2019,4,April,0,1,0,0
