Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,10,8
2025,7,July,0,0,33,14
2025,6,June,0,2,30,4
2025,5,May,0,2,28,0
2025,4,April,0,4,35,16
2025,3,March,0,0,75,7
2025,2,February,0,0,48,0
2025,1,January,0,0,25,6
2024,12,December,0,0,38,0
2024,11,November,2,4,32,4
2024,10,October,0,0,7,40
2024,9,September,0,0,20,7
2024,8,August,0,0,15,6
2024,7,July,0,1,48,17
2024,6,June,0,0,20,1
2024,5,May,0,3,51,0
2024,4,April,0,0,41,5
2024,3,March,0,0,22,5
2024,2,February,0,0,35,7
2024,1,January,0,0,49,2
2023,12,December,0,0,46,4
2023,11,November,0,2,53,2
2023,10,October,0,0,36,3
2023,9,September,0,0,1,0
2023,8,August,0,0,20,0
2023,7,July,0,0,48,27
2023,6,June,0,0,18,0
2023,5,May,0,3,31,0
2023,4,April,0,0,76,30
2023,3,March,0,0,31,0
2023,2,February,0,0,23,4
2023,1,January,0,0,29,6
2022,12,December,0,0,55,3
2022,11,November,0,0,52,9
2022,10,October,0,4,30,0
2022,9,September,0,0,11,0
2022,8,August,0,4,23,4
2022,7,July,0,0,52,21
2022,6,June,0,0,19,10
2022,5,May,0,0,32,4
2022,4,April,0,2,19,0
2022,3,March,0,0,55,4
2022,2,February,0,5,25,4
2022,1,January,0,0,12,10
2021,12,December,0,0,25,0
2021,11,November,0,0,19,5
2021,10,October,0,0,16,7
2021,9,September,0,0,0,1
2021,8,August,0,3,5,0
2021,7,July,0,2,22,14
2021,6,June,0,0,58,13
2021,5,May,0,0,5,0
2021,4,April,0,0,54,0
2021,3,March,0,0,27,1
2021,2,February,0,0,22,0
2021,1,January,0,0,1,0
2020,12,December,0,0,1,0
2020,10,October,0,1,3,0
2020,7,July,0,0,14,0
2020,6,June,0,0,1,0
2020,5,May,2,0,0,2
2020,3,March,1,4,11,2
2020,2,February,0,0,30,0
2020,1,January,0,1,24,1
2019,12,December,0,0,5,0
2019,11,November,0,1,9,0
2019,10,October,0,0,2,0
2019,9,September,0,0,2,0
2019,8,August,0,0,9,0
2019,7,July,0,4,21,0
2019,6,June,0,9,9,15
2019,5,May,0,2,17,0
2019,4,April,0,0,55,0
2019,3,March,0,0,18,3
2019,2,February,0,0,11,0
2019,1,January,0,3,6,2
