Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,2,23,0
2025,7,July,0,4,15,0
2025,6,June,0,0,11,0
2025,4,April,0,0,7,0
2025,3,March,0,0,14,0
2025,2,February,0,0,12,0
2024,12,December,0,0,19,0
2024,11,November,0,5,17,0
2024,9,September,0,1,16,0
2024,7,July,0,0,16,0
2024,6,June,0,0,9,0
2024,5,May,0,0,15,0
2024,4,April,0,0,1,1
2024,3,March,0,0,6,0
2024,2,February,0,0,2,0
2024,1,January,0,4,32,0
2023,12,December,0,0,2,0
2023,11,November,0,0,10,0
2023,10,October,0,0,4,0
2023,8,August,0,0,16,0
2023,7,July,0,1,23,0
2023,6,June,0,3,2,0
2023,5,May,0,0,11,0
2023,4,April,0,2,38,0
2023,3,March,0,0,6,0
2023,2,February,0,0,14,0
2023,1,January,0,9,18,0
2022,12,December,0,2,13,0
2022,11,November,0,2,14,0
2022,10,October,0,3,25,0
2022,9,September,0,2,8,0
2022,8,August,0,6,31,0
2022,7,July,0,1,22,0
2022,6,June,0,3,43,0
2022,5,May,0,6,7,0
2022,4,April,0,5,31,0
2022,3,March,0,4,9,0
2022,2,February,0,1,6,0
2022,1,January,0,0,46,0
2021,12,December,0,21,30,0
2021,11,November,0,5,48,0
2021,10,October,0,21,14,0
2021,9,September,0,3,27,0
2021,8,August,0,10,10,0
2021,7,July,0,16,20,0
2021,6,June,0,1,8,0
2021,5,May,0,0,14,0
2021,4,April,0,0,14,0
2021,3,March,0,0,8,0
2021,2,February,0,0,13,0
2021,1,January,0,1,15,0
2020,12,December,0,3,15,0
2020,11,November,0,1,0,0
2020,10,October,0,0,4,0
2020,9,September,0,1,1,0
2020,5,May,0,0,1,0
2020,2,February,0,0,4,0
2020,1,January,0,10,16,0
2019,12,December,0,0,20,0
2019,11,November,0,0,9,0
2019,9,September,0,0,5,0
2019,8,August,0,3,7,0
2019,7,July,0,5,41,0
2019,6,June,0,2,22,0
2019,5,May,0,0,15,0
2019,4,April,0,6,23,0
2019,3,March,0,0,13,0
2019,2,February,0,3,33,0
2019,1,January,0,4,14,0
