Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,7,July,0,0,10,0
2025,5,May,0,0,10,0
2025,4,April,0,0,12,0
2025,1,January,0,0,7,0
2024,12,December,0,0,27,0
2024,11,November,0,0,8,0
2024,10,October,0,0,3,0
2024,9,September,0,2,0,0
2024,8,August,0,2,0,0
2024,7,July,0,0,6,0
2024,6,June,0,0,14,0
2024,5,May,0,0,10,0
2024,1,January,0,0,6,0
2023,12,December,0,2,14,0
2023,9,September,0,0,18,0
2023,8,August,0,0,5,0
2023,7,July,0,0,7,0
2023,3,March,0,0,4,0
2023,2,February,0,0,6,0
2022,12,December,0,0,11,0
2022,11,November,0,0,5,0
2022,10,October,0,0,2,0
2022,8,August,0,0,6,0
2022,6,June,0,0,6,0
2021,11,November,0,2,4,0
2021,10,October,0,0,2,0
2021,8,August,0,1,6,0
2020,3,March,0,2,1,0
2019,8,August,0,1,8,0
2019,6,June,0,0,9,0
