Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,39,13
2025,7,July,2,4,11,9
2025,6,June,0,0,9,1
2025,5,May,0,0,11,7
2025,4,April,0,0,3,0
2025,3,March,0,0,24,11
2025,1,January,0,0,5,0
2024,12,December,0,0,41,4
2024,11,November,0,0,12,16
2024,10,October,4,4,7,11
2024,9,September,2,3,2,0
2024,8,August,1,1,14,5
2024,7,July,0,2,17,11
2024,6,June,0,0,8,8
2024,5,May,4,0,17,14
2024,4,April,2,0,3,0
2024,3,March,0,0,17,9
2024,2,February,0,0,26,17
2024,1,January,0,0,0,10
2023,12,December,0,4,65,13
2023,11,November,4,6,22,11
2023,10,October,0,2,9,10
2023,9,September,0,0,19,13
2023,8,August,0,0,24,26
2023,7,July,0,2,22,15
2023,6,June,3,0,33,28
2023,5,May,0,0,15,8
2023,4,April,0,1,4,8
2023,3,March,0,0,20,11
2023,2,February,0,0,0,14
2023,1,January,0,0,4,15
2022,12,December,0,0,7,4
2022,11,November,0,0,12,3
2022,10,October,3,3,13,53
2022,9,September,1,3,7,4
2022,8,August,0,3,2,9
2022,7,July,4,4,9,18
2022,6,June,0,0,7,27
2022,5,May,0,2,15,16
2022,4,April,0,0,0,14
2022,3,March,1,2,14,7
2022,2,February,2,0,14,17
2022,1,January,0,0,2,9
2021,12,December,0,0,15,16
2021,11,November,0,0,19,14
2021,10,October,0,0,14,19
2021,9,September,0,0,23,13
2021,8,August,0,0,5,4
2021,7,July,0,0,0,7
2021,6,June,0,0,23,19
2021,5,May,0,1,2,16
2021,4,April,0,0,20,21
2021,2,February,0,0,7,16
2021,1,January,0,0,12,29
2020,12,December,0,4,7,0
2020,11,November,0,0,11,2
2020,10,October,1,1,20,23
2020,8,August,0,1,0,0
2020,7,July,0,0,2,4
2020,6,June,0,4,0,0
2020,5,May,4,0,0,0
2020,3,March,0,1,10,28
2020,2,February,6,2,15,21
2020,1,January,0,2,5,9
2019,12,December,6,4,4,10
2019,11,November,0,0,23,13
2019,10,October,0,1,3,3
2019,9,September,3,4,15,7
2019,8,August,3,3,8,3
2019,7,July,4,2,10,29
2019,6,June,8,10,14,11
2019,5,May,5,3,12,22
2019,4,April,0,0,1,7
2019,3,March,1,1,14,25
2019,2,February,7,7,9,20
2019,1,January,2,1,0,14
