Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,3,0,0
2025,7,July,0,4,0,0
2025,5,May,0,1,0,0
2025,3,March,0,2,0,0
2025,1,January,0,9,0,0
2024,12,December,0,1,0,0
2024,11,November,5,0,0,0
2024,8,August,0,2,0,0
2024,7,July,0,4,0,0
2024,3,March,0,3,4,0
2024,2,February,0,1,0,0
2024,1,January,0,2,0,0
2023,10,October,99,0,0,194
2023,9,September,0,66,13,0
2023,5,May,0,0,4,0
2023,4,April,0,0,2,0
2022,11,November,0,32,31,0
2022,10,October,0,2,0,0
2022,6,June,0,3,0,0
2020,9,September,0,0,2,0
2020,5,May,0,1,0,0
2020,3,March,0,0,2,0
2020,1,January,0,5,0,0
2019,9,September,0,1,5,0
2019,8,August,0,8,4,0
2019,7,July,0,1,8,0
2019,6,June,0,0,6,0
2019,3,March,0,3,0,0
2019,2,February,0,8,0,0
