Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,17,6,163,182
2025,7,July,0,24,183,127
2025,6,June,49,9,133,244
2025,5,May,6,24,188,146
2025,4,April,23,6,145,195
2025,3,March,3,19,323,262
2025,2,February,17,14,194,244
2025,1,January,20,59,127,137
2024,12,December,17,15,178,98
2024,11,November,9,11,150,165
2024,10,October,6,10,115,94
2024,9,September,6,9,116,139
2024,8,August,4,5,141,189
2024,7,July,224,20,282,443
2024,6,June,13,13,182,164
2024,5,May,12,14,249,145
2024,4,April,134,15,151,207
2024,3,March,7,4,349,159
2024,2,February,21,38,178,143
2024,1,January,17,22,218,279
2023,12,December,5,14,255,65
2023,11,November,21,1,189,310
2023,10,October,16,43,113,85
2023,9,September,3,11,121,107
2023,8,August,7,9,92,98
2023,7,July,9,15,183,184
2023,6,June,26,23,226,222
2023,5,May,3,6,324,190
2023,4,April,4,3,186,225
2023,3,March,7,13,381,299
2023,2,February,0,22,140,148
2023,1,January,12,15,197,217
2022,12,December,6,6,473,328
2022,11,November,11,28,167,157
2022,10,October,11,10,111,149
2022,9,September,0,16,109,74
2022,8,August,1,11,138,133
2022,7,July,25,29,204,147
2022,6,June,12,8,176,157
2022,5,May,3,5,225,152
2022,4,April,17,33,189,143
2022,3,March,6,6,295,156
2022,2,February,7,12,184,160
2022,1,January,2,10,149,170
2021,12,December,1,4,210,124
2021,11,November,7,3,146,175
2021,10,October,4,4,78,73
2021,9,September,6,12,87,108
2021,8,August,6,3,100,172
2021,7,July,5,2,208,161
2021,6,June,2,5,158,177
2021,5,May,5,4,110,99
2021,4,April,4,5,116,135
2021,3,March,1,1,191,229
2021,2,February,2,0,70,93
2021,1,January,3,8,163,143
2020,12,December,1,1,86,66
2020,11,November,1,11,97,106
2020,10,October,2,6,87,58
2020,9,September,0,2,29,13
2020,8,August,2,2,46,42
2020,7,July,0,3,98,55
2020,6,June,10,0,5,2
2020,5,May,0,3,0,0
2020,4,April,0,0,0,3
2020,3,March,5,5,131,165
2020,2,February,8,9,135,204
2020,1,January,3,15,156,190
2019,12,December,10,27,198,168
2019,11,November,10,47,205,201
2019,10,October,11,28,153,130
2019,9,September,7,12,115,121
2019,8,August,17,22,163,158
2019,7,July,7,5,194,180
2019,6,June,14,20,222,351
2019,5,May,9,18,274,305
2019,4,April,11,20,382,182
2019,3,March,12,26,330,239
2019,2,February,15,9,179,140
2019,1,January,7,29,141,173
