Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,76,90,212,232
2025,7,July,22,40,186,247
2025,6,June,41,40,193,247
2025,5,May,96,113,279,368
2025,4,April,143,189,352,660
2025,3,March,266,259,498,809
2025,2,February,208,250,439,506
2025,1,January,200,219,220,488
2024,12,December,248,127,520,389
2024,11,November,160,109,213,214
2024,10,October,98,40,72,90
2024,9,September,32,45,97,140
2024,8,August,46,43,171,183
2024,7,July,51,26,150,220
2024,6,June,52,67,156,267
2024,5,May,60,95,353,308
2024,4,April,120,208,326,386
2024,3,March,175,133,554,610
2024,2,February,140,116,272,350
2024,1,January,169,212,227,473
2023,12,December,231,100,422,335
2023,11,November,139,77,220,256
2023,10,October,144,59,97,127
2023,9,September,18,23,130,150
2023,8,August,44,20,128,187
2023,7,July,33,35,205,240
2023,6,June,29,36,219,210
2023,5,May,59,81,287,317
2023,4,April,134,270,291,411
2023,3,March,183,163,420,482
2023,2,February,191,136,314,368
2023,1,January,184,223,358,496
2022,12,December,279,121,431,348
2022,11,November,141,118,313,286
2022,10,October,98,80,160,143
2022,9,September,64,55,102,91
2022,8,August,55,34,120,125
2022,7,July,36,58,225,265
2022,6,June,25,25,160,169
2022,5,May,25,66,313,317
2022,4,April,116,175,348,417
2022,3,March,125,146,332,433
2022,2,February,127,91,254,242
2022,1,January,84,131,169,300
2021,12,December,198,57,300,244
2021,11,November,140,86,217,225
2021,10,October,95,33,114,140
2021,9,September,39,21,71,71
2021,8,August,29,17,62,112
2021,7,July,23,30,235,247
2021,6,June,47,49,212,291
2021,5,May,43,73,267,295
2021,4,April,50,43,179,183
2021,3,March,56,29,304,333
2021,2,February,27,26,131,156
2021,1,January,64,57,149,261
2020,12,December,155,86,324,282
2020,11,November,118,9,136,133
2020,10,October,55,12,51,90
2020,9,September,17,18,58,53
2020,8,August,19,18,36,96
2020,7,July,15,34,181,190
2020,6,June,19,55,28,24
2020,5,May,8,39,6,11
2020,4,April,5,16,18,23
2020,3,March,107,316,184,293
2020,2,February,103,101,367,355
2020,1,January,163,220,279,704
2019,12,December,292,104,536,340
2019,11,November,89,74,180,282
2019,10,October,62,40,149,154
2019,9,September,169,22,118,209
2019,8,August,35,23,127,138
2019,7,July,45,41,204,148
2019,6,June,15,20,216,190
2019,5,May,49,35,260,288
2019,4,April,127,139,243,373
2019,3,March,207,186,408,500
2019,2,February,131,121,286,363
2019,1,January,109,222,238,363
