Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,0,2
2025,7,July,0,0,6,6
2025,5,May,0,0,0,2
2024,12,December,0,0,7,4
2024,11,November,0,0,4,0
2024,8,August,0,0,8,0
2024,7,July,0,0,0,5
2024,6,June,0,0,0,2
2024,1,January,0,0,0,4
2023,11,November,0,0,0,10
2023,8,August,0,0,2,4
2023,6,June,0,0,3,2
2023,3,March,0,0,3,0
2023,2,February,0,0,6,6
2022,7,July,0,0,4,4
2022,6,June,0,0,0,3
2021,11,November,0,0,4,1
2021,6,June,0,2,4,0
2021,5,May,0,0,5,4
2021,4,April,0,0,6,3
2020,12,December,0,0,11,0
2020,11,November,0,0,0,2
2020,9,September,1,0,0,3
2020,8,August,0,3,3,0
2020,1,January,0,0,0,9
2019,12,December,0,2,13,4
2019,11,November,0,3,8,5
2019,9,September,0,0,1,3
2019,8,August,0,2,2,5
2019,7,July,0,2,7,0
2019,6,June,0,3,8,5
2019,5,May,0,0,12,7
2019,4,April,0,0,9,7
2019,3,March,0,0,13,3
2019,2,February,0,1,8,7
2019,1,January,0,0,7,4
