Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,8,0,2,0
2025,7,July,15,0,39,9
2025,6,June,3,4,4,1
2025,5,May,9,8,11,2
2025,4,April,20,6,23,0
2025,3,March,0,0,8,20
2025,2,February,18,6,16,0
2025,1,January,7,0,4,14
2024,12,December,5,5,21,0
2024,11,November,9,0,0,4
2024,10,October,7,0,4,1
2024,9,September,6,0,10,2
2024,8,August,5,5,12,9
2024,7,July,14,16,54,14
2024,6,June,12,9,4,0
2024,5,May,8,9,5,5
2024,4,April,16,9,6,2
2024,3,March,0,9,14,2
2024,2,February,9,2,2,8
2024,1,January,18,2,3,3
2023,12,December,17,1,6,0
2023,11,November,11,5,6,6
2023,10,October,7,5,0,0
2023,9,September,16,0,4,4
2023,8,August,6,6,11,8
2023,7,July,4,5,25,22
2023,6,June,14,17,14,10
2023,5,May,0,0,2,0
2023,4,April,3,3,6,0
2023,3,March,8,8,11,9
2023,2,February,14,0,13,9
2023,1,January,7,9,2,6
2022,12,December,0,7,6,0
2022,11,November,17,6,12,13
2022,10,October,9,1,0,2
2022,9,September,1,0,15,9
2022,8,August,0,0,12,2
2022,7,July,0,0,37,11
2022,6,June,0,4,20,9
2022,5,May,14,4,11,12
2022,4,April,4,1,28,8
2022,3,March,29,10,21,7
2022,2,February,4,0,13,2
2022,1,January,1,0,0,0
2021,12,December,8,7,27,0
2021,11,November,5,0,0,2
2021,10,October,5,20,0,0
2021,9,September,8,8,4,10
2021,8,August,1,0,15,1
2021,7,July,0,0,17,18
2021,6,June,0,1,1,0
2021,5,May,2,0,4,2
2021,4,April,2,0,1,1
2021,3,March,0,0,18,0
2021,1,January,0,2,0,12
2020,12,December,0,0,16,2
2020,11,November,2,4,0,0
2020,10,October,0,0,4,0
2020,6,June,0,2,1,0
2020,5,May,0,2,0,0
2020,4,April,0,8,0,0
2020,3,March,18,7,0,0
2020,2,February,26,20,10,3
2020,1,January,8,10,16,0
2019,12,December,14,7,16,6
2019,11,November,8,3,0,0
2019,10,October,7,17,6,6
2019,9,September,23,6,17,8
2019,8,August,5,5,4,0
2019,7,July,3,12,17,12
2019,6,June,4,4,3,0
2019,5,May,0,0,13,5
2019,4,April,14,22,6,4
2019,3,March,20,3,5,5
2019,2,February,8,0,7,15
2019,1,January,24,37,4,0
