Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,42,20,46,34
2025,7,July,15,23,11,47
2025,6,June,21,27,56,76
2025,5,May,48,32,77,83
2025,4,April,31,12,71,77
2025,3,March,52,34,87,123
2025,2,February,18,25,53,69
2025,1,January,41,36,48,104
2024,12,December,32,33,107,81
2024,11,November,30,27,93,101
2024,10,October,33,34,78,94
2024,9,September,48,31,48,73
2024,8,August,16,4,29,74
2024,7,July,40,22,39,82
2024,6,June,37,36,75,107
2024,5,May,28,66,62,88
2024,4,April,39,25,59,76
2024,3,March,13,20,152,138
2024,2,February,19,31,71,39
2024,1,January,41,57,68,138
2023,12,December,21,48,82,57
2023,11,November,37,46,79,70
2023,10,October,39,57,71,87
2023,9,September,22,20,36,38
2023,8,August,35,33,61,76
2023,7,July,14,20,68,72
2023,6,June,41,73,132,164
2023,5,May,26,6,99,126
2023,4,April,12,26,70,105
2023,3,March,44,38,91,136
2023,2,February,31,34,83,60
2023,1,January,42,24,134,168
2022,12,December,14,34,135,87
2022,11,November,19,28,87,73
2022,10,October,26,33,81,86
2022,9,September,42,29,38,42
2022,8,August,40,22,62,36
2022,7,July,11,37,45,53
2022,6,June,7,26,39,67
2022,5,May,33,48,115,93
2022,4,April,26,47,101,126
2022,3,March,45,54,115,106
2022,2,February,40,38,96,49
2022,1,January,11,12,53,67
2021,12,December,12,20,101,43
2021,11,November,13,13,62,66
2021,10,October,33,48,75,45
2021,9,September,59,47,18,50
2021,8,August,19,21,18,10
2021,7,July,30,25,34,108
2021,6,June,12,5,59,37
2021,5,May,1,5,30,39
2021,4,April,2,6,70,69
2021,3,March,2,5,67,48
2021,2,February,1,3,47,33
2021,1,January,4,5,38,112
2020,12,December,6,11,82,87
2020,11,November,5,0,50,49
2020,10,October,2,2,48,29
2020,9,September,0,0,21,0
2020,8,August,5,1,0,17
2020,7,July,0,2,15,29
2020,6,June,0,5,9,33
2020,5,May,0,1,16,0
2020,3,March,33,21,24,48
2020,2,February,36,32,87,72
2020,1,January,35,42,58,72
2019,12,December,18,28,95,71
2019,11,November,14,36,45,46
2019,10,October,24,55,43,25
2019,9,September,43,44,58,55
2019,8,August,7,47,40,60
2019,7,July,33,17,32,18
2019,6,June,19,44,58,40
2019,5,May,35,46,102,66
2019,4,April,31,20,44,37
2019,3,March,18,6,107,80
2019,2,February,12,19,71,45
2019,1,January,27,18,63,87
