Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,8,8
2025,6,June,0,0,0,2
2025,5,May,0,0,4,5
2025,4,April,0,0,8,4
2025,3,March,3,3,22,12
2025,2,February,2,0,0,0
2025,1,January,0,0,2,15
2024,12,December,0,0,5,13
2024,11,November,0,0,0,9
2024,10,October,0,0,8,5
2024,9,September,1,3,1,0
2024,8,August,6,7,1,2
2024,7,July,0,2,4,3
2024,5,May,17,0,8,23
2024,4,April,8,0,0,0
2024,3,March,0,0,7,9
2024,2,February,0,0,10,0
2024,1,January,0,0,2,0
2023,12,December,0,1,16,0
2023,11,November,5,5,4,4
2023,9,September,0,2,0,0
2023,8,August,3,0,6,4
2023,7,July,2,0,9,2
2023,6,June,2,9,0,11
2023,5,May,6,1,7,1
2023,4,April,0,0,13,14
2023,3,March,2,2,11,5
2023,2,February,9,5,0,9
2023,1,January,0,0,0,9
2022,12,December,0,0,14,0
2022,11,November,1,2,40,4
2022,10,October,2,0,11,0
2022,9,September,10,2,0,7
2022,8,August,3,5,30,26
2022,7,July,0,0,8,8
2022,6,June,9,4,3,31
2022,5,May,6,7,26,9
2022,4,April,7,4,8,17
2022,3,March,0,0,11,6
2022,2,February,0,0,8,20
2021,12,December,1,1,6,7
2021,11,November,1,1,17,4
2021,10,October,0,0,2,1
2021,9,September,3,0,0,13
2021,8,August,3,1,2,6
2021,7,July,6,6,16,17
2021,5,May,3,0,7,6
2021,4,April,4,1,18,35
2021,3,March,0,0,22,22
2021,2,February,0,1,2,0
2021,1,January,3,0,2,21
2020,12,December,0,1,23,0
2020,10,October,0,0,7,5
2020,9,September,0,0,8,15
2020,7,July,0,0,6,6
2020,6,June,0,0,0,2
2020,5,May,4,0,0,0
2020,4,April,0,0,0,2
2020,3,March,0,0,6,6
2020,1,January,3,5,9,7
2019,12,December,0,0,9,14
2019,11,November,2,4,31,12
2019,10,October,0,2,6,0
2019,9,September,0,0,4,3
2019,8,August,5,5,0,0
2019,7,July,8,0,21,26
2019,6,June,2,3,9,4
2019,5,May,8,8,1,0
2019,4,April,2,2,16,20
2019,3,March,0,0,24,8
2019,2,February,2,4,0,6
2019,1,January,1,0,1,8
