Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,23,15
2025,7,July,0,27,70,30
2025,6,June,37,13,88,27
2025,5,May,0,2,61,67
2025,4,April,10,7,80,15
2025,3,March,0,0,60,12
2025,2,February,0,0,41,39
2025,1,January,0,0,33,20
2024,12,December,1,0,62,30
2024,11,November,10,14,61,34
2024,10,October,3,7,23,13
2024,9,September,0,10,20,22
2024,8,August,14,9,18,6
2024,7,July,3,6,57,15
2024,6,June,0,0,17,12
2024,5,May,0,0,39,25
2024,4,April,8,9,22,25
2024,3,March,0,0,74,18
2024,2,February,0,2,31,10
2024,1,January,4,4,57,47
2023,12,December,0,0,73,39
2023,11,November,0,0,35,6
2023,10,October,2,5,8,4
2023,9,September,16,30,23,7
2023,8,August,1,0,42,18
2023,7,July,2,3,21,10
2023,6,June,0,40,82,57
2023,5,May,7,16,45,5
2023,4,April,3,6,69,30
2023,3,March,8,6,53,18
2023,2,February,0,0,5,9
2023,1,January,0,3,25,8
2022,12,December,0,16,51,12
2022,11,November,9,3,28,6
2022,10,October,0,1,56,5
2022,9,September,0,2,11,2
2022,8,August,0,0,29,13
2022,7,July,2,4,51,13
2022,6,June,1,3,44,4
2022,5,May,6,10,44,20
2022,4,April,0,12,45,16
2022,3,March,1,1,55,18
2022,2,February,0,3,13,3
2022,1,January,3,4,22,10
2021,12,December,0,5,60,15
2021,11,November,0,7,75,9
2021,10,October,0,7,10,0
2021,9,September,0,0,5,0
2021,8,August,0,0,28,36
2021,7,July,1,1,33,18
2021,6,June,14,11,32,11
2021,5,May,0,0,18,2
2021,4,April,5,0,21,13
2021,3,March,2,0,30,4
2021,2,February,10,15,6,0
2021,1,January,0,0,25,0
2020,12,December,0,0,28,6
2020,11,November,0,0,28,5
2020,10,October,0,9,4,0
2020,9,September,0,0,1,4
2020,8,August,0,1,12,0
2020,7,July,0,2,5,0
2020,6,June,0,6,0,0
2020,5,May,0,3,6,0
2020,3,March,0,3,4,2
2020,2,February,0,4,11,0
2020,1,January,0,0,13,21
2019,12,December,7,7,12,5
2019,11,November,0,0,9,14
2019,10,October,0,0,36,6
2019,9,September,6,8,16,3
2019,8,August,0,0,15,0
2019,7,July,0,2,37,11
2019,6,June,0,3,59,18
2019,5,May,10,41,26,21
2019,4,April,2,0,37,7
2019,3,March,0,5,74,5
2019,2,February,5,0,21,13
2019,1,January,0,0,36,8
