Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,156,154,1,1
2025,6,June,247,242,2,3
2025,4,April,338,325,1,1
2025,3,March,455,452,8,7
2025,2,February,290,454,5,2
2025,1,January,479,478,1,5
2024,12,December,179,0,0,0
2024,11,November,542,533,1,1
2024,10,October,512,504,0,0
2024,9,September,445,436,2,2
2024,8,August,129,129,0,0
2024,7,July,185,330,2,3
2024,6,June,164,0,0,1
2024,5,May,174,174,1,2
2024,4,April,468,357,1,10
2024,3,March,493,484,16,21
2024,2,February,462,463,3,3
2024,1,January,301,302,5,5
2023,12,December,161,0,0,0
2023,11,November,526,522,2,0
2023,10,October,363,362,0,0
2023,9,September,538,531,5,5
2023,5,May,0,179,0,0
2023,4,April,552,512,1,1
2023,3,March,347,180,0,0
2023,2,February,463,392,3,4
2023,1,January,810,533,5,6
2022,11,November,804,662,0,0
2022,10,October,583,526,1,1
2022,9,September,304,298,1,1
2022,8,August,92,135,1,2
2022,7,July,372,288,0,0
2020,8,August,0,1,0,0
2020,2,February,457,446,8,8
2020,1,January,393,510,5,4
2019,12,December,357,0,0,2
2019,11,November,390,477,8,9
2019,10,October,701,649,9,10
2019,9,September,549,475,7,12
2019,7,July,359,296,7,12
2019,6,June,351,335,6,5
2019,5,May,174,172,4,4
2019,4,April,601,593,7,12
2019,3,March,172,318,6,4
2019,2,February,415,368,6,4
2019,1,January,459,467,4,2
