Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,11,0
2025,7,July,0,0,9,0
2025,6,June,0,4,4,0
2025,5,May,0,2,28,0
2025,4,April,0,3,6,0
2025,3,March,0,0,6,0
2025,2,February,0,0,4,0
2025,1,January,0,8,9,0
2024,12,December,0,0,7,0
2024,11,November,0,4,10,0
2024,10,October,165,166,6,0
2024,9,September,0,4,16,0
2024,8,August,0,0,1,0
2024,7,July,0,1,0,0
2024,6,June,0,1,7,0
2024,5,May,0,0,10,0
2024,4,April,0,6,3,0
2024,3,March,0,0,2,0
2024,2,February,0,0,14,0
2024,1,January,0,0,0,2
2023,12,December,0,0,21,0
2023,11,November,0,1,9,0
2023,9,September,184,162,0,0
2023,8,August,0,0,3,0
2023,7,July,0,0,11,0
2023,6,June,0,0,5,0
2023,5,May,0,3,11,0
2023,3,March,0,0,18,0
2023,2,February,0,2,0,0
2023,1,January,0,0,6,0
2022,12,December,0,7,10,0
2022,11,November,0,0,2,0
2022,10,October,710,928,347,327
2022,9,September,660,732,285,267
2022,8,August,1290,1196,411,554
2022,7,July,397,771,286,187
2022,6,June,653,813,453,178
2022,5,May,942,971,158,174
2022,4,April,870,733,139,153
2022,3,March,481,383,69,57
2022,2,February,180,158,24,18
2022,1,January,112,184,48,72
2021,12,December,345,270,174,143
2021,11,November,0,0,9,0
2021,10,October,0,3,1,0
2021,9,September,0,0,2,0
2021,7,July,0,1,30,0
2021,6,June,0,0,16,0
2021,5,May,0,0,4,0
2021,4,April,0,0,15,0
2021,3,March,0,2,2,0
2021,2,February,1,1,0,0
2021,1,January,0,0,1,0
2020,12,December,0,2,23,0
2020,11,November,0,0,0,5
2020,10,October,0,6,29,0
2020,9,September,0,1,1,0
2020,8,August,0,3,12,0
2020,7,July,0,0,6,0
2020,5,May,0,6,7,0
2020,3,March,0,6,5,0
2020,2,February,0,3,0,0
2020,1,January,0,1,7,0
2019,12,December,0,8,11,0
2019,11,November,0,12,29,0
2019,10,October,0,3,12,0
2019,9,September,0,6,10,0
2019,8,August,0,0,9,0
2019,7,July,0,1,8,0
2019,6,June,0,1,14,0
2019,5,May,0,8,17,0
2019,4,April,0,1,15,0
2019,3,March,0,2,8,0
2019,2,February,0,2,16,0
2019,1,January,0,3,17,0
