Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,1,1,13,8
2025,7,July,0,0,4,1
2025,6,June,0,0,7,6
2025,5,May,0,0,6,2
2025,4,April,0,1,0,0
2025,3,March,1,0,6,11
2025,2,February,0,0,11,7
2025,1,January,0,0,1,4
2024,12,December,1,1,16,12
2024,11,November,1,1,7,10
2024,10,October,1,1,4,8
2024,9,September,0,0,9,6
2024,8,August,0,0,30,40
2024,7,July,4,3,34,16
2024,6,June,1,1,11,4
2024,5,May,1,2,9,7
2024,4,April,6,4,12,20
2024,3,March,0,0,2,6
2024,2,February,0,0,4,0
2024,1,January,0,0,0,2
2023,12,December,1,0,5,19
2023,11,November,0,1,9,2
2023,10,October,0,1,0,2
2023,9,September,1,1,12,0
2023,8,August,2,0,21,14
2023,7,July,0,1,9,4
2023,6,June,3,6,5,5
2023,5,May,3,2,5,6
2023,4,April,0,0,1,0
2023,3,March,1,1,2,2
2023,2,February,1,0,0,0
2023,1,January,0,1,2,17
2022,12,December,1,0,2,0
2022,11,November,3,1,2,1
2022,10,October,5,15,1,4
2022,9,September,1,1,5,5
2022,8,August,0,1,15,8
2022,7,July,4,4,6,6
2022,6,June,4,7,24,6
2022,5,May,0,0,2,3
2022,4,April,0,0,0,7
2022,3,March,1,1,22,3
2022,2,February,1,1,6,13
2022,1,January,0,0,8,6
2021,12,December,0,2,20,8
2021,11,November,1,1,0,0
2021,10,October,0,0,0,2
2021,6,June,0,0,8,2
2021,5,May,3,0,0,0
2020,11,November,0,1,4,0
2020,1,January,0,1,0,0
2019,12,December,0,1,0,0
2019,11,November,0,0,6,0
2019,10,October,0,0,5,1
2019,9,September,0,1,1,4
2019,8,August,4,1,11,3
2019,7,July,1,1,15,21
2019,6,June,0,0,21,3
