Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,0,8
2025,7,July,0,0,19,4
2025,6,June,0,0,6,7
2025,5,May,0,0,18,0
2025,4,April,0,2,13,13
2025,3,March,0,0,5,5
2025,2,February,0,0,11,4
2025,1,January,0,0,2,0
2024,12,December,0,3,8,10
2024,11,November,0,0,10,11
2024,9,September,0,0,6,9
2024,8,August,0,0,1,10
2024,7,July,0,4,20,15
2024,6,June,0,0,14,7
2024,5,May,0,0,14,16
2024,4,April,0,0,4,4
2024,3,March,0,0,17,22
2024,2,February,0,0,7,21
2024,1,January,0,0,9,0
2023,11,November,0,0,10,4
2023,10,October,0,0,7,0
2023,9,September,0,0,13,0
2023,8,August,0,3,6,0
2023,6,June,0,0,47,8
2023,5,May,0,0,16,0
2023,4,April,0,0,4,0
2023,3,March,0,0,5,6
2023,2,February,0,0,0,2
2022,10,October,0,3,15,9
2022,8,August,0,0,25,0
2022,6,June,0,0,33,0
2022,5,May,0,0,14,0
2022,4,April,0,0,9,0
2022,2,February,0,0,4,0
2022,1,January,0,0,8,0
2021,11,November,0,0,9,0
2021,10,October,0,0,8,0
2021,8,August,0,0,14,20
2021,7,July,0,0,27,9
2021,6,June,0,0,28,19
2021,5,May,0,0,14,16
2021,4,April,0,0,2,0
2021,3,March,0,0,18,39
2021,2,February,0,0,2,50
2020,12,December,0,0,0,4
2020,11,November,0,0,0,8
2020,10,October,0,0,0,5
2020,9,September,0,0,0,7
2020,8,August,0,0,0,12
2020,7,July,0,0,9,25
2020,6,June,0,0,6,1
2020,3,March,0,0,8,27
2020,2,February,0,0,0,11
2019,12,December,0,0,10,4
2019,11,November,0,0,0,4
2019,10,October,0,0,2,4
2019,8,August,0,0,20,16
2019,7,July,0,0,52,14
2019,6,June,0,0,22,14
2019,5,May,0,0,31,24
2019,4,April,0,0,3,0
2019,3,March,0,2,8,2
2019,2,February,0,1,8,13
2019,1,January,0,0,1,0
