Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,358,50,55,133
2025,7,July,144,0,133,148
2025,6,June,88,1,76,185
2025,5,May,107,1,82,162
2025,4,April,21,81,102,175
2025,3,March,132,0,58,250
2025,2,February,192,111,64,629
2025,1,January,49,7,266,242
2024,12,December,20,0,141,243
2024,11,November,22,0,73,336
2024,10,October,33,0,118,232
2024,9,September,124,51,162,252
2024,8,August,24,3,131,272
2024,7,July,605,100,301,803
2024,6,June,45,17,246,325
2024,5,May,62,8,217,442
2024,4,April,77,5,206,476
2024,3,March,7,2,140,211
2024,2,February,50,7,157,242
2024,1,January,72,7,152,232
2023,12,December,81,0,72,252
2023,11,November,64,22,135,359
2023,10,October,57,2,130,313
2023,9,September,75,49,221,143
2023,8,August,211,0,73,264
2023,7,July,13,1,179,253
2023,6,June,78,55,261,225
2023,5,May,102,0,44,208
2023,4,April,343,12,183,316
2023,3,March,13,25,38,267
2023,2,February,10,1,167,294
2023,1,January,18,0,82,230
2022,12,December,139,11,116,819
2022,11,November,69,1,60,265
2022,10,October,67,36,119,334
2022,9,September,9,0,64,39
2022,8,August,1,0,76,147
2022,7,July,18,1,138,100
2022,6,June,79,3,99,184
2022,5,May,205,65,68,700
2022,4,April,125,0,79,124
2022,3,March,23,3,138,171
2022,2,February,2,0,71,34
2022,1,January,64,0,7,33
2021,12,December,45,0,34,108
2021,11,November,132,0,64,209
2021,10,October,271,1,130,149
2021,9,September,286,3,145,420
2021,8,August,117,85,64,96
2021,7,July,90,9,99,179
2021,6,June,60,0,82,64
2021,5,May,130,13,5,33
2021,4,April,54,0,2,124
2021,3,March,25,0,0,7
2021,2,February,37,1,2,1
2021,1,January,36,7,0,18
2020,12,December,47,22,9,28
2020,11,November,19,0,13,32
2020,10,October,86,0,0,50
2020,9,September,146,105,3,37
2020,8,August,56,0,0,13
2020,7,July,24,0,0,0
2020,6,June,59,0,0,9
2020,5,May,39,0,0,0
2020,4,April,24,0,0,7
2020,3,March,20,0,47,56
2020,2,February,39,5,264,332
2020,1,January,96,101,161,193
2019,12,December,37,0,140,204
2019,11,November,170,2,108,274
2019,10,October,78,1,190,90
2019,9,September,64,22,205,267
2019,8,August,84,59,101,150
2019,7,July,41,6,126,187
2019,6,June,195,0,122,208
2019,5,May,84,0,20,84
2019,4,April,348,96,140,339
2019,3,March,148,103,194,335
2019,2,February,44,0,66,317
2019,1,January,1,5,170,104
