Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,33,16,17,15
2025,7,July,23,14,44,27
2025,6,June,56,49,29,39
2025,5,May,42,10,22,10
2025,4,April,76,11,18,10
2025,3,March,32,14,11,14
2025,2,February,61,15,35,15
2025,1,January,54,10,10,9
2024,12,December,48,14,27,1
2024,11,November,34,3,3,5
2024,10,October,7,17,6,12
2024,9,September,0,5,49,9
2024,8,August,15,3,33,0
2024,7,July,7,20,44,31
2024,6,June,7,27,51,9
2024,5,May,73,32,23,21
2024,4,April,94,20,16,51
2024,3,March,77,34,5,33
2024,2,February,115,44,14,12
2024,1,January,105,38,14,54
2023,12,December,93,0,7,20
2023,11,November,111,22,14,24
2023,10,October,142,13,5,58
2023,9,September,55,25,37,28
2023,8,August,65,29,24,43
2023,7,July,80,9,28,129
2023,6,June,72,41,25,37
2023,5,May,74,16,12,40
2023,4,April,100,24,2,17
2023,3,March,111,21,7,24
2023,2,February,36,41,24,59
2023,1,January,105,40,6,33
2022,12,December,92,17,17,9
2022,11,November,76,29,21,32
2022,10,October,137,15,27,66
2022,9,September,87,26,22,46
2022,8,August,51,21,25,56
2022,7,July,59,24,17,60
2022,6,June,70,30,22,49
2022,5,May,63,16,12,20
2022,4,April,78,26,9,23
2022,3,March,71,38,15,17
2022,2,February,105,57,21,17
2022,1,January,89,42,18,27
2021,12,December,76,8,39,11
2021,11,November,46,32,1,7
2021,10,October,35,16,10,16
2021,9,September,6,14,3,13
2021,8,August,21,5,1,22
2021,7,July,54,9,12,8
2021,6,June,8,2,0,3
2021,5,May,23,14,4,3
2021,4,April,33,18,6,6
2021,3,March,18,3,0,4
2021,2,February,0,6,0,4
2021,1,January,15,15,19,8
2020,12,December,20,6,29,3
2020,11,November,12,0,0,0
2020,10,October,26,6,0,5
2020,9,September,10,4,9,4
2020,8,August,10,3,1,10
2020,7,July,5,6,5,0
2020,6,June,13,8,1,1
2020,5,May,13,5,0,5
2020,4,April,8,21,2,1
2020,3,March,33,46,7,8
2020,2,February,87,21,18,72
2020,1,January,71,5,16,22
2019,12,December,58,0,30,44
2019,11,November,44,14,8,19
2019,10,October,57,32,14,46
2019,9,September,50,14,25,40
2019,8,August,44,6,6,73
2019,7,July,39,24,41,84
2019,6,June,86,30,27,57
2019,5,May,80,23,27,32
2019,4,April,82,37,13,23
2019,3,March,68,23,13,26
2019,2,February,67,53,34,39
2019,1,January,66,23,23,51
