Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,718,763,632,905
2025,7,July,614,508,852,1203
2025,6,June,586,576,1015,989
2025,5,May,973,1015,722,797
2025,4,April,1454,1221,852,1270
2025,3,March,97,108,709,554
2025,2,February,37,40,348,395
2025,1,January,37,38,316,565
2024,12,December,59,68,511,479
2024,11,November,49,56,184,280
2024,10,October,501,454,472,665
2024,9,September,660,772,725,928
2024,8,August,994,858,711,1006
2024,7,July,788,803,1276,1712
2024,6,June,704,1104,1330,1287
2024,5,May,1037,1102,1021,943
2024,4,April,1247,1264,737,1013
2024,3,March,234,202,675,485
2024,2,February,10,44,266,258
2024,1,January,17,21,182,471
2023,12,December,35,49,326,182
2023,11,November,28,62,344,311
2023,10,October,60,39,447,280
2023,9,September,42,45,121,117
2023,8,August,29,44,405,245
2023,7,July,17,32,361,345
2023,6,June,28,58,304,286
2023,5,May,37,58,266,217
2023,4,April,61,69,473,548
2023,3,March,31,36,225,257
2023,2,February,35,32,230,235
2023,1,January,24,21,231,410
2022,12,December,43,53,412,178
2022,11,November,54,54,254,281
2022,10,October,33,58,135,147
2022,9,September,31,85,248,214
2022,8,August,32,111,360,241
2022,7,July,35,24,475,334
2022,6,June,44,46,335,308
2022,5,May,26,21,253,271
2022,4,April,61,51,224,390
2022,3,March,46,15,380,286
2022,2,February,27,27,175,231
2022,1,January,25,15,115,406
2021,12,December,24,4,264,144
2021,11,November,16,24,153,146
2021,10,October,49,52,66,79
2021,9,September,25,22,73,74
2021,8,August,41,23,99,183
2021,7,July,23,24,264,244
2021,6,June,33,7,218,279
2021,5,May,28,21,210,281
2021,4,April,11,32,185,313
2021,3,March,13,10,202,162
2021,2,February,5,4,104,120
2021,1,January,14,8,61,196
2020,12,December,13,10,187,87
2020,11,November,19,62,129,52
2020,10,October,4,10,63,59
2020,9,September,5,8,57,52
2020,8,August,2,7,69,35
2020,7,July,3,1,91,121
2020,6,June,3,4,30,22
2020,5,May,0,6,3,2
2020,4,April,4,3,5,5
2020,3,March,12,39,97,105
2020,2,February,14,50,162,141
2020,1,January,21,54,131,300
2019,12,December,16,39,251,169
2019,11,November,17,97,174,122
2019,10,October,741,899,413,624
2019,9,September,730,779,596,614
2019,8,August,767,882,1110,1154
2019,7,July,695,699,1362,1287
2019,6,June,657,803,1210,1163
2019,5,May,711,844,937,825
2019,4,April,919,946,786,637
2019,3,March,23,129,315,320
2019,2,February,33,48,137,147
2019,1,January,10,43,259,334
