Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,54600,55425,158708,179804
2025,7,July,43550,38067,203562,219366
2025,6,June,31842,33683,211980,210891
2025,5,May,38574,40011,172997,163438
2025,4,April,43725,41583,155779,166971
2025,3,March,34119,34276,192267,196764
2025,2,February,27850,27220,142237,143050
2025,1,January,33875,37533,135410,157108
2024,12,December,41320,43284,170359,154551
2024,11,November,29543,36517,113639,111474
2024,10,October,40238,38218,122923,132132
2024,9,September,32768,36545,112572,120573
2024,8,August,55060,54878,158308,177270
2024,7,July,45493,38756,192883,210107
2024,6,June,33983,35573,210321,210338
2024,5,May,40659,42187,179574,172132
2024,4,April,41403,43951,158529,172951
2024,3,March,46598,40818,203522,203837
2024,2,February,35546,35493,156902,156516
2024,1,January,40278,43099,140684,165126
2023,12,December,43600,43632,163498,152830
2023,11,November,33413,38101,115192,116267
2023,10,October,38512,37693,112452,125798
2023,9,September,32856,35034,113315,111142
2023,8,August,51534,50011,132776,152850
2023,7,July,42389,35509,178765,193459
2023,6,June,31292,32039,187291,182459
2023,5,May,38702,38772,156464,153593
2023,4,April,39797,39344,141606,147335
2023,3,March,37914,36504,142772,143810
2023,2,February,34280,33292,118969,120693
2023,1,January,36017,38912,112510,126489
2022,12,December,39237,39495,140385,130950
2022,11,November,33901,36830,111177,113558
2022,10,October,39728,37564,104246,114360
2022,9,September,33023,34418,103063,102749
2022,8,August,47284,46734,122516,143264
2022,7,July,37476,33708,161067,173619
2022,6,June,29569,29134,166300,161727
2022,5,May,35737,38950,124424,116393
2022,4,April,35325,35016,104256,105582
2022,3,March,23673,22040,106073,104997
2022,2,February,15427,15156,71007,69367
2022,1,January,15576,18299,59310,73366
2021,12,December,19585,20444,86843,79228
2021,11,November,17314,16468,67979,70411
2021,10,October,14213,13295,58800,60765
2021,9,September,10618,9688,42116,43107
2021,8,August,16560,15964,71841,88016
2021,7,July,18630,15872,119289,123906
2021,6,June,14660,11952,111626,110857
2021,5,May,17211,14663,86563,87723
2021,4,April,15901,11892,77233,85062
2021,3,March,10153,8006,67384,63226
2021,2,February,7000,6417,37618,41800
2021,1,January,12684,9510,36602,57936
2020,12,December,9507,12296,48000,38851
2020,11,November,6727,8210,27164,30012
2020,10,October,6391,5212,25987,26489
2020,9,September,4584,3961,14913,15593
2020,8,August,4806,4010,16020,19495
2020,7,July,5490,4941,15342,14401
2020,6,June,4467,4853,5681,4089
2020,5,May,1901,3146,881,1221
2020,4,April,255,551,196,824
2020,3,March,14687,18004,51167,75253
2020,2,February,30247,29289,103657,106450
2020,1,January,34186,37171,95941,112768
2019,12,December,36101,35781,105868,94516
2019,11,November,26255,29835,74224,74611
2019,10,October,35718,33780,88372,95587
2019,9,September,29918,33486,88502,87208
2019,8,August,48440,52667,115834,135842
2019,7,July,44194,37140,153383,170674
2019,6,June,33220,34384,172256,167439
2019,5,May,36841,40941,142348,138766
2019,4,April,40521,37088,121749,130463
2019,3,March,28728,29642,124574,129208
2019,2,February,23674,23018,92306,93502
2019,1,January,27475,30433,87028,100474
