Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,4,0,39,49
2025,7,July,7,4,44,19
2025,6,June,4,12,64,38
2025,5,May,6,8,43,28
2025,4,April,2,10,399,91
2025,3,March,9,10,81,33
2025,2,February,2,2,37,40
2025,1,January,2,8,18,57
2024,12,December,4,10,64,95
2024,11,November,0,12,72,20
2024,10,October,40,29,32,39
2024,9,September,9,17,13,13
2024,8,August,9,8,4,29
2024,7,July,1,5,71,34
2024,6,June,0,10,14,31
2024,5,May,9,11,37,37
2024,4,April,13,8,63,57
2024,3,March,4,19,77,50
2024,2,February,2,14,66,59
2024,1,January,11,14,32,28
2023,12,December,0,3,89,43
2023,11,November,8,0,56,73
2023,10,October,8,11,96,72
2023,9,September,0,0,5,15
2023,8,August,1,19,12,12
2023,7,July,2,0,68,85
2023,6,June,7,7,47,53
2023,5,May,1,2,76,43
2023,4,April,3,5,56,42
2023,3,March,7,11,53,25
2023,2,February,1,4,52,40
2023,1,January,0,2,32,38
2022,12,December,5,1,55,34
2022,11,November,3,6,67,41
2022,10,October,9,1,85,73
2022,9,September,4,4,12,4
2022,8,August,4,5,24,30
2022,7,July,2,0,39,36
2022,6,June,0,5,123,37
2022,5,May,5,7,52,43
2022,4,April,7,19,69,101
2022,3,March,11,14,92,75
2022,2,February,1,4,51,74
2022,1,January,5,12,25,84
2021,12,December,0,9,73,21
2021,11,November,0,5,75,91
2021,10,October,2,2,11,15
2021,9,September,0,1,16,8
2021,8,August,4,3,21,26
2021,7,July,3,5,32,62
2021,6,June,17,9,57,81
2021,5,May,27,1,24,31
2021,4,April,21,3,43,101
2021,3,March,0,0,46,30
2021,2,February,0,3,47,67
2021,1,January,10,5,22,61
2020,12,December,6,13,52,17
2020,11,November,10,18,22,4
2020,10,October,8,0,7,7
2020,9,September,8,6,0,8
2020,8,August,0,2,15,4
2020,7,July,15,9,4,13
2020,6,June,0,0,0,1
2020,5,May,6,0,0,0
2020,4,April,0,1,0,0
2020,3,March,6,12,11,15
2020,2,February,1,9,41,59
2020,1,January,0,9,30,53
2019,12,December,23,24,55,43
2019,11,November,7,5,39,23
2019,10,October,3,1,9,28
2019,9,September,11,19,11,4
2019,8,August,0,0,11,5
2019,7,July,10,8,12,10
2019,6,June,23,6,51,54
2019,5,May,1,0,50,24
2019,4,April,0,4,31,51
2019,3,March,12,12,59,53
2019,2,February,5,3,33,21
2019,1,January,16,8,37,50
