Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,303515,319392,435285,511705
2025,7,July,279575,265050,532788,574032
2025,6,June,243263,257501,550379,520999
2025,5,May,259821,272977,464774,417246
2025,4,April,238623,219638,354315,392995
2025,3,March,191777,191676,432086,426309
2025,2,February,159282,161331,278470,296357
2025,1,January,197644,209420,315122,392424
2024,12,December,223443,257172,396755,345308
2024,11,November,209049,237508,318997,320663
2024,10,October,256548,269273,356090,401568
2024,9,September,258299,261550,395381,399153
2024,8,August,310689,311985,426561,497725
2024,7,July,295346,267449,517078,562991
2024,6,June,252379,260153,560424,520445
2024,5,May,273067,274170,455602,398972
2024,4,April,229702,208934,340230,377883
2024,3,March,207149,193854,408006,407809
2024,2,February,165691,165485,289989,298487
2024,1,January,200835,202264,298564,377932
2023,12,December,215755,246426,390152,317911
2023,11,November,192183,217733,300708,306223
2023,10,October,249694,260342,328578,385343
2023,9,September,252148,245209,389362,382602
2023,8,August,294821,284025,378767,459834
2023,7,July,268664,240940,474713,527199
2023,6,June,236549,226099,516299,469231
2023,5,May,238981,248358,414827,371524
2023,4,April,215928,199392,342250,373705
2023,3,March,181181,166237,384572,371806
2023,2,February,139699,130906,262195,274058
2023,1,January,171926,174022,295355,352981
2022,12,December,186703,211277,356471,295870
2022,11,November,171507,190472,284643,286085
2022,10,October,218263,222784,292369,327415
2022,9,September,223518,211693,346975,348527
2022,8,August,261198,249543,354215,443807
2022,7,July,240704,215191,449726,491339
2022,6,June,206277,200084,468887,409422
2022,5,May,205186,210713,363264,317318
2022,4,April,178861,162879,278422,301783
2022,3,March,133295,123397,297798,284877
2022,2,February,95158,85181,181052,181973
2022,1,January,121203,116478,180588,236599
2021,12,December,141101,165320,267045,218909
2021,11,November,125431,118975,199607,204084
2021,10,October,101726,105815,177517,195031
2021,9,September,106958,97213,179267,195083
2021,8,August,146891,114233,211531,280731
2021,7,July,111485,105519,245706,241079
2021,6,June,78563,84166,191638,167744
2021,5,May,67007,68060,127666,123896
2021,4,April,61317,50014,97887,117979
2021,3,March,51368,45024,110024,104035
2021,2,February,39769,37330,69392,71088
2021,1,January,69792,50581,79864,120804
2020,12,December,50671,75117,119580,85278
2020,11,November,39309,53422,72661,69798
2020,10,October,39268,45133,56024,55885
2020,9,September,42440,45153,49424,52450
2020,8,August,48783,50448,50497,57491
2020,7,July,33790,42963,38302,41800
2020,6,June,21825,31289,15103,23676
2020,5,May,6523,16275,4168,9277
2020,4,April,5064,14446,3226,9051
2020,3,March,86402,123090,126707,214812
2020,2,February,168055,157502,254553,274900
2020,1,January,223154,214886,281761,344169
2019,12,December,229764,268338,353350,307493
2019,11,November,212855,232798,278858,282603
2019,10,October,273715,283845,313486,345561
2019,9,September,285148,277161,347951,362474
2019,8,August,334231,328640,381830,453067
2019,7,July,311885,282062,456671,504106
2019,6,June,286852,283602,490961,456610
2019,5,May,306162,309165,405493,360703
2019,4,April,281972,245504,334504,376276
2019,3,March,222080,216974,414424,411720
2019,2,February,183369,173617,269385,278726
2019,1,January,225544,212245,285627,343218
