Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,5807,5546,9764,11500
2025,7,July,5144,4308,13764,16920
2025,6,June,4105,4268,18224,17177
2025,5,May,3987,4045,12567,9714
2025,4,April,3513,2771,7492,8307
2025,3,March,2733,2431,10394,9223
2025,2,February,1990,1732,5584,4872
2025,1,January,2266,2169,4344,5839
2024,12,December,3236,3599,8763,6867
2024,11,November,2624,3033,5634,5975
2024,10,October,3360,3261,5544,7704
2024,9,September,3420,3384,8296,7930
2024,8,August,4943,4246,9210,11039
2024,7,July,4454,3553,13337,15975
2024,6,June,3576,3376,18005,17103
2024,5,May,3525,3582,11424,9275
2024,4,April,3368,2984,7147,8361
2024,3,March,2580,2331,10549,9568
2024,2,February,2098,1983,6437,5205
2024,1,January,2795,2376,4614,5837
2023,12,December,2927,3117,8445,7089
2023,11,November,2700,3054,5583,5421
2023,10,October,3459,3141,6404,8343
2023,9,September,3200,2835,7120,6719
2023,8,August,3801,3127,5840,7245
2023,7,July,3055,2449,10683,13045
2023,6,June,2321,1937,12231,12514
2023,5,May,2016,1765,7127,6029
2023,4,April,1506,1293,6075,7126
2023,3,March,1452,1318,6223,5617
2023,2,February,1228,1046,4305,4206
2023,1,January,1567,1283,3107,4102
2022,12,December,1636,1627,5428,5391
2022,11,November,1491,1441,4168,4222
2022,10,October,1496,1168,4124,4544
2022,9,September,1334,1063,4005,3614
2022,8,August,1954,1397,3639,4787
2022,7,July,950,764,5968,6635
2022,6,June,792,694,6453,6461
2022,5,May,782,609,3512,2844
2022,4,April,139,135,2722,3337
2022,3,March,79,50,2477,2573
2022,2,February,64,39,2012,2335
2022,1,January,108,80,1917,2119
2021,12,December,85,151,1600,1096
2021,11,November,58,84,1349,1322
2021,10,October,73,65,1342,1443
2021,9,September,115,92,1036,1069
2021,8,August,340,147,1041,1692
2021,7,July,227,209,3225,4087
2021,6,June,182,159,2342,3237
2021,5,May,323,295,1575,2131
2021,4,April,311,215,1272,1769
2021,3,March,39,38,1219,1082
2021,2,February,11,8,191,229
2021,1,January,119,128,963,1258
2020,12,December,105,98,1053,756
2020,11,November,14,5,15,19
2020,10,October,22,11,4,13
2020,9,September,2,6,13,21
2020,8,August,8,10,39,22
2020,7,July,12,9,26,26
2020,6,June,5,5,11,1
2020,5,May,5,7,6,1
2020,4,April,5,6,3,4
2020,3,March,914,983,2062,3730
2020,2,February,2614,2324,5032,5643
2020,1,January,2974,2703,4607,5777
2019,12,December,3132,3802,6016,5571
2019,11,November,2947,3289,4782,5757
2019,10,October,3703,3717,6746,7981
2019,9,September,3643,3401,6953,7174
2019,8,August,4324,4210,7079,8829
2019,7,July,3770,3248,9050,11238
2019,6,June,2964,3222,11625,12291
2019,5,May,3464,4192,9229,8417
2019,4,April,4112,3792,7855,9748
2019,3,March,3181,3284,9319,9893
2019,2,February,2624,2233,5117,5765
2019,1,January,3411,2650,5567,7240
