Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,6,0,15,26
2025,7,July,8,4,54,66
2025,6,June,3,15,74,38
2025,5,May,6,1,45,33
2025,4,April,6,3,55,27
2025,3,March,1,2,21,15
2025,2,February,2,2,14,23
2025,1,January,1,2,36,12
2024,12,December,1,3,27,24
2024,11,November,3,5,25,31
2024,10,October,3,0,39,38
2024,9,September,8,3,26,29
2024,8,August,1,6,43,38
2024,7,July,4,9,44,45
2024,6,June,3,0,37,26
2024,5,May,8,2,33,43
2024,4,April,1,3,25,28
2024,3,March,4,1,35,14
2024,2,February,0,4,41,17
2024,1,January,1,6,49,31
2023,12,December,5,1,10,25
2023,11,November,3,0,15,38
2023,10,October,0,0,17,0
2023,9,September,2,1,9,41
2023,8,August,5,0,8,23
2023,7,July,2,4,34,20
2023,6,June,2,3,52,37
2023,4,April,4,0,6,31
2023,3,March,5,4,9,10
2023,2,February,1,14,17,56
2023,1,January,8,1,19,20
2022,12,December,2,0,9,25
2022,11,November,5,0,0,18
2022,10,October,8,0,0,36
2022,9,September,4,0,0,37
2022,8,August,1,0,0,20
2022,7,July,6,0,0,33
2022,6,June,3,0,0,16
2022,5,May,1,0,0,12
2022,4,April,3,0,0,11
2022,3,March,2,0,0,21
2022,2,February,2,0,0,19
2022,1,January,1,0,0,9
2021,12,December,1,0,0,8
2021,11,November,1,0,0,24
2021,10,October,2,0,0,25
2021,9,September,0,0,0,10
2021,8,August,2,0,0,17
2021,7,July,0,0,0,7
2021,6,June,0,0,0,18
2021,5,May,0,0,0,18
2021,4,April,1,0,0,18
2021,3,March,3,1,19,26
2021,2,February,0,0,10,9
2021,1,January,0,1,12,6
2020,12,December,0,1,24,10
2020,11,November,0,1,7,0
2020,10,October,1,0,8,16
2020,9,September,1,0,11,18
2020,8,August,0,3,16,8
2020,7,July,0,0,8,8
2020,6,June,0,0,6,3
2020,5,May,0,6,0,5
2020,4,April,2,0,0,4
2020,3,March,5,4,19,29
2020,2,February,10,7,35,25
2020,1,January,1,6,19,13
2019,12,December,6,4,28,18
2019,11,November,2,6,12,25
2019,10,October,9,6,29,30
2019,9,September,0,0,23,15
2019,8,August,0,12,37,13
2019,7,July,5,2,21,21
2019,6,June,7,6,23,19
2019,5,May,3,7,21,41
2019,4,April,4,4,46,27
2019,3,March,3,2,37,44
2019,2,February,0,1,30,34
2019,1,January,1,7,32,22
