Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,12,28,43,30
2025,7,July,3,16,7,37
2025,6,June,0,3,23,64
2025,5,May,2,3,26,17
2025,4,April,9,4,3,3
2025,3,March,0,4,0,19
2025,2,February,3,1,24,8
2025,1,January,7,12,2,4
2024,12,December,16,13,44,40
2024,11,November,0,2,26,3
2024,10,October,5,3,25,33
2024,9,September,6,8,10,5
2024,8,August,40,29,39,90
2024,7,July,7,14,100,51
2024,6,June,1,0,22,33
2024,5,May,3,5,26,19
2024,4,April,9,6,6,11
2024,3,March,8,12,1,9
2024,2,February,17,2,10,13
2024,1,January,8,5,10,15
2023,12,December,6,0,0,0
2023,11,November,6,0,11,4
2023,10,October,12,17,32,27
2023,9,September,19,17,11,14
2023,8,August,14,18,45,52
2023,7,July,38,8,30,34
2023,6,June,22,17,9,43
2023,5,May,15,0,6,2
2023,4,April,0,0,0,1
2022,9,September,0,0,6,0
2022,8,August,0,36,10,0
2022,7,July,0,6,3,0
2022,6,June,0,0,2,0
2022,5,May,0,2,0,0
2021,12,December,0,0,5,0
2021,9,September,0,7,1,0
2021,8,August,0,0,4,0
2020,10,October,0,0,16,0
2020,8,August,0,1,0,0
2020,6,June,0,0,6,0
2019,12,December,0,6,1,0
2019,8,August,0,8,11,0
2019,6,June,0,2,3,0
2019,5,May,0,4,3,0
