Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,3,0
2025,7,July,0,0,2,0
2025,6,June,0,0,5,0
2025,5,May,0,0,2,0
2025,3,March,0,0,4,0
2024,12,December,0,3,4,0
2024,4,April,0,0,6,0
2024,3,March,0,0,24,0
2023,10,October,0,2,6,0
2023,9,September,0,0,5,0
2023,7,July,0,0,8,0
2023,3,March,0,4,17,0
2023,2,February,0,0,4,0
2022,11,November,0,0,1,0
2022,2,February,0,0,6,0
2021,6,June,0,0,3,0
2020,12,December,0,8,1,0
2020,11,November,0,0,8,0
2020,10,October,0,5,0,0
2020,3,March,0,0,6,0
2020,2,February,0,1,7,0
2019,10,October,0,2,14,0
2019,6,June,1,0,0,0
2019,5,May,0,0,8,0
2019,3,March,0,0,10,0
2019,1,January,0,0,11,0
