Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,49,3,19,193
2025,7,July,6,7,213,209
2025,6,June,34,16,281,525
2025,5,May,3,4,40,164
2025,4,April,17,9,10,13
2025,3,March,126,15,26,315
2025,2,February,11,18,15,22
2025,1,January,17,6,18,39
2024,12,December,20,5,15,24
2024,11,November,17,5,12,13
2024,10,October,28,22,13,11
2024,9,September,25,44,13,5
2024,8,August,11,16,183,4
2024,7,July,14,0,52,185
2024,6,June,42,6,22,639
2024,5,May,7,0,9,5
2024,4,April,9,35,0,0
2024,3,March,14,3,35,20
2024,2,February,26,46,18,302
2024,1,January,14,6,17,11
2023,12,December,2,1,18,4
2023,11,November,13,2,7,11
2023,10,October,6,9,14,8
2023,9,September,36,41,1,11
2023,8,August,24,26,68,185
2023,7,July,11,18,31,149
2023,6,June,2,4,16,20
2023,5,May,110,10,23,466
2023,4,April,81,4,7,573
2023,3,March,5,13,3,0
2023,2,February,15,6,36,41
2023,1,January,3,21,24,64
2022,12,December,0,4,17,13
2022,11,November,3,7,15,12
2022,10,October,20,18,6,12
2022,9,September,11,43,1,2
2022,8,August,259,16,25,709
2022,7,July,3,8,14,290
2022,6,June,94,9,8,358
2022,5,May,108,8,4,150
2022,4,April,27,26,9,16
2022,3,March,0,10,34,5
2022,2,February,2,17,40,16
2022,1,January,2,0,14,19
2021,12,December,6,0,34,0
2021,11,November,0,1,4,0
2021,10,October,2,2,3,18
2021,9,September,0,22,4,0
2021,8,August,0,10,20,1
2021,7,July,19,11,1,1
2021,6,June,112,1,0,160
2021,5,May,0,5,5,0
2021,4,April,11,7,0,0
2021,3,March,0,9,16,16
2021,2,February,0,0,34,12
2021,1,January,10,0,31,18
2020,12,December,4,2,1,12
2020,10,October,0,0,16,4
2020,9,September,0,9,1,0
2020,8,August,1,4,6,0
2020,7,July,0,2,0,0
2020,6,June,0,2,1,0
2020,5,May,4,0,16,3
2020,4,April,0,0,13,0
2020,3,March,0,0,0,8
2020,2,February,2,4,8,9
2020,1,January,6,2,20,27
2019,12,December,4,0,6,6
2019,11,November,119,1,153,259
2019,10,October,9,4,9,1
2019,9,September,12,106,13,1
2019,8,August,5,5,45,35
2019,7,July,8,3,23,8
2019,6,June,7,6,32,172
2019,5,May,1,0,0,141
2019,4,April,9,6,17,17
2019,3,March,18,9,6,2
2019,2,February,5,10,12,11
2019,1,January,18,4,16,28
