Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,3,12,59,31
2025,7,July,3,24,61,63
2025,6,June,99,6,88,38
2025,5,May,53,31,112,30
2025,4,April,34,76,119,47
2025,3,March,103,43,91,18
2025,2,February,18,12,35,13
2025,1,January,31,24,30,51
2024,12,December,39,25,87,12
2024,11,November,35,32,63,48
2024,10,October,13,11,43,50
2024,9,September,12,14,13,0
2024,8,August,1,281,46,7
2024,7,July,33,20,48,183
2024,6,June,8,25,43,12
2024,5,May,2,14,62,3
2024,4,April,76,118,50,33
2024,3,March,20,20,107,16
2024,2,February,7,7,71,40
2024,1,January,42,53,50,38
2023,12,December,28,4,37,8
2023,11,November,16,21,41,16
2023,10,October,19,13,33,1
2023,9,September,10,9,20,10
2023,8,August,20,13,88,73
2023,7,July,9,11,97,67
2023,6,June,16,16,51,16
2023,5,May,17,12,29,11
2023,4,April,24,115,78,107
2023,3,March,41,33,100,22
2023,2,February,9,9,13,6
2023,1,January,38,14,50,36
2022,12,December,45,5,37,6
2022,11,November,11,21,27,31
2022,10,October,9,5,47,23
2022,9,September,3,3,26,0
2022,8,August,23,11,24,160
2022,7,July,3,3,83,11
2022,6,June,15,2,73,6
2022,5,May,5,25,38,37
2022,4,April,39,106,86,10
2022,3,March,7,32,43,9
2022,2,February,19,14,27,2
2022,1,January,14,29,49,6
2021,12,December,42,2,48,18
2021,11,November,30,32,78,26
2021,10,October,5,33,23,30
2021,9,September,1,0,27,7
2021,8,August,5,1,3,9
2021,7,July,19,6,60,185
2021,6,June,2,0,35,6
2021,5,May,8,15,46,3
2021,4,April,28,20,61,13
2021,3,March,17,2,51,43
2021,2,February,21,7,14,3
2021,1,January,15,16,7,26
2020,12,December,12,8,17,7
2020,11,November,0,8,23,0
2020,10,October,4,9,5,5
2020,9,September,4,7,0,0
2020,8,August,1,3,3,4
2020,7,July,2,4,14,12
2020,6,June,7,8,0,0
2020,5,May,9,6,0,0
2020,4,April,2,1,0,0
2020,3,March,10,24,41,26
2020,2,February,59,19,63,16
2020,1,January,43,33,19,16
2019,12,December,27,5,20,29
2019,11,November,21,27,12,6
2019,10,October,26,20,8,22
2019,9,September,7,14,11,3
2019,8,August,15,17,35,50
2019,7,July,18,24,59,226
2019,6,June,13,17,236,39
2019,5,May,12,23,67,50
2019,4,April,68,95,101,39
2019,3,March,51,47,69,35
2019,2,February,31,5,42,26
2019,1,January,49,40,43,10
