Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,1476,1546,1905,2364
2025,7,July,1433,1234,3504,4688
2025,6,June,1224,1090,5314,5775
2025,5,May,1202,1210,3375,2622
2025,4,April,163,134,706,874
2025,3,March,124,148,2728,2686
2025,2,February,155,47,899,772
2025,1,January,33,52,790,738
2024,12,December,149,140,674,614
2024,11,November,132,117,601,678
2024,10,October,582,605,705,1015
2024,9,September,1279,1184,1958,2379
2024,8,August,1174,1150,1938,2757
2024,7,July,1432,1257,4019,4957
2024,6,June,1023,841,5264,4868
2024,5,May,1200,1388,3841,2796
2024,4,April,1031,946,1952,1826
2024,3,March,1007,967,3985,3390
2024,2,February,846,703,1459,1476
2024,1,January,688,742,1155,1265
2023,12,December,863,988,1541,1317
2023,11,November,941,973,1229,1174
2023,10,October,1407,1334,1494,2110
2023,9,September,1198,1157,1772,2008
2023,8,August,1089,1029,2052,2594
2023,7,July,1026,954,3554,4298
2023,6,June,802,828,4200,3991
2023,5,May,1071,1176,3426,2430
2023,4,April,752,670,2232,2295
2023,3,March,746,649,2454,2444
2023,2,February,761,687,1501,1398
2023,1,January,669,650,1129,1316
2022,12,December,800,766,1569,1403
2022,11,November,800,733,1313,1261
2022,10,October,1179,1085,1096,1543
2022,9,September,1136,1063,1716,1712
2022,8,August,1221,988,2383,3123
2022,7,July,1149,1059,3494,4047
2022,6,June,1045,1026,4092,3512
2022,5,May,1123,1172,2897,1839
2022,4,April,817,787,1623,2056
2022,3,March,723,845,3391,2747
2022,2,February,385,356,1591,1579
2022,1,January,431,438,1075,1201
2021,12,December,605,682,1041,663
2021,11,November,691,675,819,783
2021,10,October,932,783,1039,1080
2021,9,September,787,838,921,828
2021,8,August,1043,896,1112,1404
2021,7,July,893,574,1653,1705
2021,6,June,170,137,999,1228
2021,5,May,132,125,766,802
2021,4,April,165,168,466,501
2021,3,March,127,123,753,639
2021,2,February,120,100,329,294
2021,1,January,138,124,212,406
2020,12,December,127,136,259,109
2020,11,November,87,110,40,36
2020,10,October,67,103,20,18
2020,9,September,42,54,20,4
2020,8,August,5,0,0,14
2020,7,July,9,12,18,11
2020,6,June,25,20,8,18
2020,5,May,13,4,8,11
2020,4,April,7,0,0,37
2020,3,March,553,634,1415,1946
2020,2,February,864,973,2664,2557
2020,1,January,1017,1055,1835,2157
2019,12,December,1128,1240,1922,1518
2019,11,November,1065,1402,1710,1785
2019,10,October,1841,1703,1735,2215
2019,9,September,1567,1503,2021,2203
2019,8,August,1496,1417,2494,3592
2019,7,July,1567,1447,4482,5479
2019,6,June,1111,1330,5506,6178
2019,5,May,1413,1898,4065,4021
2019,4,April,1188,1146,2934,3759
2019,3,March,1381,1571,4294,4946
2019,2,February,1734,1427,2351,2423
2019,1,January,1464,1186,1839,2380
