Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,94,84,67,82
2025,7,July,72,86,65,127
2025,6,June,64,42,73,96
2025,5,May,56,97,83,62
2025,4,April,126,117,100,71
2025,3,March,137,127,60,83
2025,2,February,77,73,104,94
2025,1,January,102,148,70,64
2024,12,December,198,195,75,68
2024,11,November,105,119,72,54
2024,10,October,82,114,68,55
2024,9,September,48,69,56,19
2024,8,August,82,97,30,17
2024,7,July,87,81,115,90
2024,6,June,58,91,100,111
2024,5,May,71,133,72,52
2024,4,April,79,88,43,50
2024,3,March,108,87,85,73
2024,2,February,65,65,54,61
2024,1,January,80,125,65,64
2023,12,December,174,144,92,66
2023,11,November,111,136,90,111
2023,10,October,88,124,59,28
2023,9,September,63,60,11,19
2023,8,August,95,111,23,40
2023,7,July,101,88,77,96
2023,6,June,67,55,80,114
2023,5,May,48,78,67,59
2023,4,April,150,130,109,84
2023,3,March,104,72,135,141
2023,2,February,48,63,127,61
2023,1,January,75,123,40,56
2022,12,December,144,94,97,50
2022,11,November,129,109,59,37
2022,10,October,99,84,46,42
2022,9,September,86,61,54,29
2022,8,August,66,81,37,54
2022,7,July,163,109,61,65
2022,6,June,66,76,83,96
2022,5,May,47,61,27,46
2022,4,April,99,147,83,69
2022,3,March,112,76,76,78
2022,2,February,76,55,65,68
2022,1,January,52,136,45,51
2021,12,December,140,125,92,47
2021,11,November,106,123,76,65
2021,10,October,91,66,23,48
2021,9,September,56,47,11,30
2021,8,August,101,138,30,44
2021,7,July,121,94,90,100
2021,6,June,104,83,66,29
2021,5,May,128,119,18,24
2021,4,April,159,212,55,51
2021,3,March,254,143,34,46
2021,2,February,220,185,30,11
2021,1,January,121,78,29,16
2020,12,December,137,107,40,54
2020,11,November,125,126,56,40
2020,10,October,79,73,19,46
2020,9,September,57,68,4,2
2020,8,August,50,75,41,35
2020,7,July,42,83,13,12
2020,6,June,110,62,26,18
2020,5,May,52,21,1,7
2020,4,April,5,16,6,0
2020,3,March,56,37,3,33
2020,2,February,58,40,22,23
2020,1,January,39,48,29,58
2019,12,December,78,103,68,44
2019,11,November,67,72,39,35
2019,10,October,84,39,26,23
2019,9,September,86,79,14,31
2019,8,August,42,39,16,21
2019,7,July,78,94,73,45
2019,6,June,46,55,42,15
2019,5,May,41,50,28,28
2019,4,April,69,102,20,33
2019,3,March,69,76,78,73
2019,2,February,69,49,34,25
2019,1,January,57,135,35,58
