Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,9,1,10,18
2025,7,July,2,7,32,14
2025,6,June,13,0,24,76
2025,5,May,13,17,50,27
2025,4,April,9,5,44,33
2025,3,March,8,8,54,48
2025,2,February,21,30,78,65
2025,1,January,7,19,56,60
2024,12,December,2,8,67,17
2024,11,November,9,9,32,20
2024,10,October,15,23,29,29
2024,9,September,2,1,2,8
2024,8,August,9,6,16,12
2024,7,July,2,3,15,22
2024,6,June,4,7,31,25
2024,5,May,23,5,46,30
2024,4,April,5,12,18,12
2024,3,March,0,1,16,27
2024,2,February,21,17,37,18
2024,1,January,4,10,30,53
2023,12,December,0,2,78,26
2023,11,November,14,17,28,30
2023,10,October,4,22,33,11
2023,9,September,0,3,12,14
2023,8,August,0,0,26,19
2023,7,July,0,1,17,5
2023,6,June,0,4,43,50
2023,5,May,7,6,49,6
2023,4,April,11,7,160,16
2023,3,March,19,15,81,9
2023,2,February,8,6,28,13
2023,1,January,17,1,23,189
2022,12,December,4,13,34,14
2022,11,November,6,4,22,30
2022,10,October,3,20,6,5
2022,9,September,0,2,26,30
2022,8,August,8,78,124,4
2022,7,July,7,4,25,47
2022,6,June,0,0,22,25
2022,5,May,3,1,11,12
2022,4,April,11,25,48,29
2022,3,March,10,14,98,51
2022,2,February,7,3,25,22
2022,1,January,24,10,24,29
2021,12,December,14,14,49,3
2021,11,November,7,12,22,19
2021,10,October,3,9,11,5
2021,9,September,0,7,11,0
2021,8,August,1,2,43,17
2021,7,July,12,9,23,15
2021,6,June,23,1,19,28
2021,5,May,18,65,4,0
2021,4,April,75,261,20,11
2021,3,March,113,294,39,39
2021,2,February,60,106,16,5
2021,1,January,100,73,17,24
2020,12,December,4,6,40,12
2020,11,November,0,5,29,6
2020,10,October,17,14,22,8
2020,9,September,0,6,14,9
2020,8,August,1,3,0,22
2020,7,July,8,0,2,1
2020,6,June,2,2,0,14
2020,5,May,0,0,1,0
2020,3,March,4,4,46,21
2020,2,February,0,4,18,4
2020,1,January,0,6,35,4
2019,12,December,0,0,8,0
2019,11,November,6,6,44,29
2019,10,October,0,5,14,13
2019,9,September,0,4,14,0
2019,8,August,10,0,11,5
2019,7,July,0,7,9,11
2019,6,June,6,13,51,37
2019,5,May,3,5,38,10
2019,4,April,0,3,14,27
2019,3,March,14,12,54,29
2019,2,February,1,6,11,14
2019,1,January,6,18,42,46
