Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,29,30
2025,7,July,0,0,19,32
2025,6,June,0,0,10,18
2025,5,May,0,0,10,20
2024,10,October,0,0,2,6
2024,9,September,0,0,16,23
2024,8,August,2,2,25,39
2024,7,July,0,0,15,32
2024,6,June,0,0,15,24
2024,5,May,0,0,9,21
2023,10,October,0,0,0,2
2023,9,September,1,0,19,23
2023,8,August,0,0,23,28
2023,7,July,0,0,11,14
2023,6,June,0,0,14,17
2023,5,May,0,0,2,2
2022,10,October,0,0,0,2
2022,9,September,0,0,0,4
2022,8,August,0,0,2,21
2022,7,July,0,0,0,4
2022,6,June,0,0,2,6
2022,5,May,0,0,0,2
2020,5,May,0,0,2,0
2019,10,October,0,0,0,1
2019,9,September,0,0,9,30
2019,8,August,0,0,31,48
2019,7,July,0,0,21,46
2019,6,June,0,0,21,42
2019,5,May,0,0,4,13
2019,4,April,0,0,2,2
