Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,7,July,0,0,4,0
2025,5,May,0,0,6,0
2025,4,April,0,0,2,0
2025,3,March,0,0,2,0
2025,2,February,0,0,7,0
2024,10,October,0,0,0,1
2024,7,July,0,0,0,3
2024,6,June,0,0,0,2
2024,5,May,1,0,0,1
2024,4,April,1,0,3,1
2024,2,February,0,0,6,0
2024,1,January,0,0,1,1
2023,12,December,0,0,2,0
2023,11,November,0,1,2,0
2023,6,June,0,0,0,1
2023,5,May,0,0,1,4
2023,4,April,0,4,0,4
2022,12,December,0,0,0,4
2022,11,November,0,0,1,7
2022,10,October,0,0,0,7
2022,9,September,1,0,0,4
2022,8,August,0,0,7,0
2022,7,July,0,2,3,7
2022,5,May,0,0,0,1
2020,2,February,0,0,0,2
2020,1,January,0,0,0,2
2019,12,December,0,0,0,8
2019,11,November,0,0,0,7
2019,10,October,0,0,0,1
2019,9,September,0,0,0,3
2019,8,August,0,0,0,22
2019,7,July,0,1,0,9
2019,6,June,0,0,0,8
2019,5,May,0,0,0,6
2019,4,April,2,0,1,2
2019,3,March,0,0,0,4
2019,2,February,11,0,1,6
2019,1,January,0,0,3,3
