Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,1,0,0
2025,6,June,0,2,3,0
2025,4,April,0,2,0,0
2025,2,February,0,2,0,0
2024,8,August,0,2,0,0
2024,6,June,0,6,1,0
2024,5,May,0,2,0,0
2024,4,April,0,0,2,0
2024,3,March,0,0,5,0
2023,12,December,0,0,3,0
2023,11,November,0,6,2,0
2023,10,October,0,1,5,0
2023,7,July,0,0,10,0
2023,3,March,0,1,7,0
2022,9,September,0,0,11,0
2022,6,June,0,2,0,0
2022,2,February,0,10,4,0
2021,10,October,0,0,6,0
2021,6,June,0,1,7,0
2021,4,April,0,0,5,0
2021,3,March,0,1,10,0
2020,12,December,0,2,3,0
2020,10,October,0,0,9,0
2020,8,August,0,0,6,0
2020,7,July,0,3,3,0
2020,6,June,0,1,3,0
2020,3,March,0,0,2,0
2020,2,February,0,4,0,0
2019,8,August,0,0,13,0
2019,7,July,0,0,10,0
2019,6,June,0,0,11,0
2019,4,April,0,0,5,0
2019,3,March,0,0,14,0
