Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,0,0,6,0
2025,7,July,6,6,8,3
2025,6,June,1,1,4,1
2025,5,May,0,2,7,6
2025,3,March,0,2,1,1
2025,1,January,0,2,0,0
2024,11,November,1,2,0,0
2024,10,October,2,3,0,1
2024,9,September,5,2,1,4
2024,8,August,4,2,7,10
2024,7,July,4,8,3,17
2024,6,June,2,3,6,1
2024,5,May,7,1,11,4
2024,4,April,1,1,4,1
2024,3,March,2,3,0,0
2024,2,February,0,4,0,1
2024,1,January,5,0,0,0
2023,12,December,3,3,0,0
2023,11,November,1,2,7,2
2023,10,October,3,0,1,7
2023,9,September,3,5,2,5
2023,8,August,6,0,7,4
2023,7,July,8,7,9,6
2023,6,June,11,6,9,6
2023,5,May,4,1,3,1
2023,4,April,1,3,0,0
2023,2,February,1,3,0,0
2023,1,January,1,0,0,0
2022,12,December,1,0,0,0
2022,11,November,1,0,0,1
2022,10,October,0,4,0,0
2022,9,September,12,14,6,13
2022,8,August,1,8,3,7
2022,7,July,7,2,9,6
2022,6,June,9,1,12,5
2022,5,May,3,1,2,0
2022,4,April,3,2,6,0
2022,3,March,5,2,0,0
2021,12,December,0,1,0,0
2021,11,November,3,2,1,0
2021,10,October,17,0,0,0
2021,9,September,14,2,1,4
2021,8,August,0,1,0,1
2021,7,July,13,3,0,1
2021,6,June,3,0,2,0
2021,5,May,0,0,2,0
2021,4,April,1,0,1,0
2021,3,March,3,4,1,0
2021,2,February,0,0,1,0
2021,1,January,0,5,0,0
2020,12,December,6,2,0,3
2020,11,November,7,2,0,0
2020,10,October,1,1,1,1
2020,9,September,1,0,0,1
2020,8,August,1,0,0,0
2020,7,July,4,0,0,5
2020,6,June,1,0,0,0
2020,5,May,1,2,2,0
2020,3,March,2,2,0,0
2020,2,February,2,2,0,1
2020,1,January,5,3,0,0
2019,12,December,0,2,0,1
2019,11,November,0,1,0,3
2019,10,October,5,4,2,5
2019,9,September,3,3,0,5
2019,8,August,6,2,4,10
2019,7,July,20,14,8,17
2019,6,June,10,3,2,29
2019,5,May,2,2,7,2
2019,4,April,11,7,1,4
2019,3,March,9,4,3,0
2019,2,February,0,1,0,0
2019,1,January,4,0,0,0
