Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,8,August,213561,216558,307914,361767
2025,7,July,199562,192945,449121,479410
2025,6,June,161823,173839,453662,437826
2025,5,May,189068,195536,373250,337998
2025,4,April,198623,188385,288685,302559
2025,3,March,180819,175743,376475,387129
2025,2,February,163123,159484,268441,275815
2025,1,January,197866,209698,275807,345690
2024,12,December,219152,227732,361990,308611
2024,11,November,187742,214634,284601,282201
2024,10,October,192197,202479,288362,293489
2024,9,September,181248,181125,261662,272688
2024,8,August,216963,209862,304100,355982
2024,7,July,203088,194811,426225,461578
2024,6,June,173760,181555,463110,443327
2024,5,May,190289,194279,368470,333530
2024,4,April,191326,180857,285283,303320
2024,3,March,193851,181372,354965,362730
2024,2,February,167148,162485,279947,281845
2024,1,January,195064,198770,261513,325129
2023,12,December,211735,215280,336168,287625
2023,11,November,173371,194192,274135,279430
2023,10,October,182487,189365,269373,282345
2023,9,September,172336,167740,259260,253516
2023,8,August,215701,204394,274489,333108
2023,7,July,196155,183381,400682,440625
2023,6,June,158088,160559,426061,397628
2023,5,May,170392,172908,316211,286591
2023,4,April,179692,167962,250668,260125
2023,3,March,164152,151142,300202,307606
2023,2,February,146082,138582,226853,236539
2023,1,January,170818,173819,238188,287380
2022,12,December,179034,188254,308200,262491
2022,11,November,156924,176944,248138,251782
2022,10,October,172799,176457,248570,262611
2022,9,September,164026,160707,242775,237695
2022,8,August,192759,182641,245975,312332
2022,7,July,169570,163199,373681,404417
2022,6,June,143078,149781,379685,349740
2022,5,May,158755,164331,296055,263438
2022,4,April,167829,162105,223929,226769
2022,3,March,122862,116221,244487,245202
2022,2,February,89881,83326,150212,148864
2022,1,January,110979,108819,149500,201465
2021,12,December,132705,141923,235244,189177
2021,11,November,115005,119781,169753,173867
2021,10,October,110630,100290,164482,161136
2021,9,September,92960,78066,141484,133591
2021,8,August,117410,89620,169652,218750
2021,7,July,117477,99862,279283,278688
2021,6,June,108233,98781,248461,225609
2021,5,May,117622,110506,161430,154973
2021,4,April,107620,90762,121334,128315
2021,3,March,81985,63962,132072,128898
2021,2,February,37971,31935,62386,61089
2021,1,January,68246,50430,77933,124401
2020,12,December,61044,73231,136465,102083
2020,11,November,47570,54332,94643,97285
2020,10,October,40143,37996,88751,83677
2020,9,September,33356,29169,66334,66147
2020,8,August,32127,26341,67867,75199
2020,7,July,25065,28823,71986,68784
2020,6,June,15960,22461,30726,28236
2020,5,May,9557,15934,10024,13513
2020,4,April,4958,9456,4297,7834
2020,3,March,66681,83781,103278,158988
2020,2,February,135523,132627,180322,187399
2020,1,January,164884,165581,186638,226277
2019,12,December,175910,180257,241066,204824
2019,11,November,150671,165749,190438,191867
2019,10,October,172343,174025,209025,213024
2019,9,September,176635,172790,206283,209181
2019,8,August,202611,199630,247025,298494
2019,7,July,192828,174484,330451,362769
2019,6,June,156535,160528,344729,326622
2019,5,May,172097,173612,250154,229760
2019,4,April,173040,156943,182896,198004
2019,3,March,150155,146853,234172,239363
2019,2,February,142427,138921,166014,167194
2019,1,January,168707,163876,170932,209891
