Year,Month Number,Month,Foreign Originating,Foreign Returning,U.S. Citizen Originating,U.S. Citizen Returning
2025,2,February,0,0,3,0
2024,9,September,0,2,4,0
2024,6,June,0,1,1,0
2024,3,March,0,0,9,0
2024,2,February,0,0,2,0
2023,10,October,0,0,3,0
2023,6,June,0,0,2,0
2023,3,March,0,0,6,0
2023,2,February,0,0,1,0
2023,1,January,0,0,5,0
2022,10,October,0,0,4,0
2022,5,May,0,0,3,0
2022,3,March,0,0,6,0
2020,3,March,0,0,3,0
2020,1,January,0,1,0,0
2019,6,June,0,0,1,0
2019,2,February,0,0,6,0
